[INFO] [1785240978.202689481] [backend_optimizer_node]: graph (re)initialized at X0=(-2.419, 1.354, 0.000) V0=(0.000, 0.000)
[INFO] [1785240978.203070975] [backend_optimizer_node]: backend_optimizer_node started (0 cylinders registered)
[WARN] [1785241157.790919063] [backend_optimizer_node]: slow smoother update: 35.8ms (index 1530)
[WARN] [1785241159.098921295] [backend_optimizer_node]: slow smoother update: 26.6ms (index 1542)
[WARN] [1785241159.287197500] [backend_optimizer_node]: slow smoother update: 35.2ms (index 1544)
[WARN] [1785241160.503834006] [backend_optimizer_node]: slow smoother update: 30.4ms (index 1559)
[WARN] [1785241161.361017473] [backend_optimizer_node]: slow smoother update: 21.1ms (index 1568)
[WARN] [1785241167.690698699] [backend_optimizer_node]: slow smoother update: 38.8ms (index 1640)
[WARN] [1785241167.713364012] [backend_optimizer_node]: slow smoother update: 21.6ms (index 1641)
[WARN] [1785241169.643892447] [backend_optimizer_node]: slow smoother update: 25.8ms (index 1661)
[WARN] [1785241171.937751530] [backend_optimizer_node]: slow smoother update: 30.9ms (index 1685)
[WARN] [1785241176.198004052] [backend_optimizer_node]: slow smoother update: 29.9ms (index 1730)
[WARN] [1785241177.448024871] [backend_optimizer_node]: slow smoother update: 30.8ms (index 1746)
[WARN] [1785241187.994826998] [backend_optimizer_node]: slow smoother update: 23.1ms (index 1862)
[WARN] [1785241190.119116674] [backend_optimizer_node]: slow smoother update: 20.4ms (index 1890)
[WARN] [1785241195.396942372] [backend_optimizer_node]: slow smoother update: 25.1ms (index 1953)
[WARN] [1785241196.066867319] [backend_optimizer_node]: slow smoother update: 30.5ms (index 1960)
[WARN] [1785241196.616862545] [backend_optimizer_node]: slow smoother update: 43.2ms (index 1965)
[WARN] [1785241196.648184328] [backend_optimizer_node]: slow smoother update: 28.9ms (index 1966)
[WARN] [1785241197.511511086] [backend_optimizer_node]: slow smoother update: 29.0ms (index 1978)
[WARN] [1785241199.154591470] [backend_optimizer_node]: slow smoother update: 36.9ms (index 1992)
[WARN] [1785241199.639021814] [backend_optimizer_node]: slow smoother update: 31.5ms (index 1998)
[WARN] [1785241199.668749512] [backend_optimizer_node]: slow smoother update: 27.9ms (index 1999)
[INFO] [1785241204.576046964] [rclcpp]: signal_handler(signum=2)
