t,along_track_mm,cross_track_mm,speed_mps
0.600000,5.2193,-0.0035,0.0064
0.601000,5.2257,-0.0020,0.0063
0.602000,5.2320,-0.0013,0.0063
0.603000,5.2384,-0.0013,0.0063
0.604000,5.2447,0.0028,0.0063
0.605000,5.2511,0.0056,0.0063
0.606000,5.2574,0.0085,0.0063
0.607000,5.2637,0.0119,0.0063
0.608000,5.2700,0.0172,0.0063
0.609000,5.2763,0.0199,0.0063
0.610000,5.2826,0.0253,0.0063
0.611000,5.2889,0.0289,0.0063
0.612000,5.2952,0.0329,0.0063
0.613000,5.3015,0.0362,0.0063
0.614000,5.3078,0.0380,0.0063
0.615000,5.3141,0.0388,0.0063
0.616000,5.3204,0.0409,0.0063
0.617000,5.3267,0.0416,0.0063
0.618000,5.3330,0.0419,0.0063
0.619000,5.3393,0.0415,0.0063
0.620000,5.3456,0.0410,0.0063
0.620000,5.7084,-0.4323,0.0072
0.621000,5.7156,-0.4332,0.0072
0.622000,5.7228,-0.4333,0.0072
0.623000,5.7300,-0.4338,0.0072
0.624000,5.7370,-0.4366,0.0072
0.625000,5.7442,-0.4368,0.0072
0.626000,5.7512,-0.4396,0.0072
0.627000,5.7582,-0.4436,0.0072
0.628000,5.7652,-0.4465,0.0072
0.629000,5.7722,-0.4489,0.0072
0.630000,5.7793,-0.4511,0.0072
0.631000,5.7863,-0.4534,0.0072
0.632000,5.7934,-0.4548,0.0072
0.633000,5.8004,-0.4581,0.0072
0.634000,5.8073,-0.4616,0.0072
0.635000,5.8143,-0.4648,0.0072
0.636000,5.8211,-0.4691,0.0072
0.637000,5.8282,-0.4710,0.0072
0.637000,5.5782,-0.2032,0.0066
0.638000,5.5848,-0.2048,0.0066
0.639000,5.5913,-0.2062,0.0066
0.640000,5.5977,-0.2079,0.0066
0.641000,5.6042,-0.2102,0.0066
0.642000,5.6107,-0.2119,0.0066
0.643000,5.6172,-0.2133,0.0066
0.644000,5.6237,-0.2156,0.0066
0.645000,5.6301,-0.2179,0.0065
0.646000,5.6366,-0.2191,0.0065
0.647000,5.6433,-0.2174,0.0065
0.648000,5.6498,-0.2175,0.0065
0.649000,5.6564,-0.2160,0.0065
0.650000,5.6630,-0.2156,0.0065
0.651000,5.6695,-0.2149,0.0065
0.652000,5.6762,-0.2128,0.0066
0.653000,5.6828,-0.2097,0.0066
0.653000,5.6218,-0.2624,0.0064
0.654000,5.6284,-0.2577,0.0064
0.655000,5.6351,-0.2519,0.0064
0.656000,5.6417,-0.2477,0.0064
0.657000,5.6482,-0.2447,0.0064
0.658000,5.6548,-0.2410,0.0064
0.659000,5.6614,-0.2348,0.0064
0.660000,5.6680,-0.2294,0.0064
0.661000,5.6747,-0.2226,0.0064
0.662000,5.6811,-0.2208,0.0064
0.663000,5.6876,-0.2188,0.0064
0.664000,5.6939,-0.2190,0.0064
0.665000,5.7003,-0.2195,0.0064
0.666000,5.7066,-0.2196,0.0063
0.667000,5.7129,-0.2205,0.0063
0.668000,5.7192,-0.2214,0.0063
0.669000,5.7256,-0.2219,0.0063
0.670000,5.7319,-0.2217,0.0063
0.671000,5.7383,-0.2209,0.0063
0.672000,5.7447,-0.2195,0.0063
0.673000,5.7510,-0.2198,0.0063
0.674000,5.7573,-0.2208,0.0063
0.675000,5.7636,-0.2216,0.0063
0.676000,5.7699,-0.2230,0.0063
0.677000,5.7761,-0.2245,0.0063
0.678000,5.7824,-0.2254,0.0063
0.679000,5.7887,-0.2275,0.0063
0.680000,5.7949,-0.2291,0.0063
0.681000,5.8011,-0.2345,0.0063
0.682000,5.8072,-0.2391,0.0063
0.683000,5.8133,-0.2439,0.0063
0.684000,5.8196,-0.2455,0.0063
0.685000,5.8257,-0.2488,0.0063
0.686000,5.8320,-0.2503,0.0063
0.687000,5.8381,-0.2552,0.0063
0.688000,5.8442,-0.2577,0.0063
0.689000,5.8505,-0.2578,0.0063
0.690000,5.8567,-0.2594,0.0063
0.690000,5.3383,0.1569,0.0050
0.691000,5.3433,0.1565,0.0050
0.692000,5.3482,0.1576,0.0049
0.693000,5.3532,0.1570,0.0049
0.694000,5.3581,0.1566,0.0049
0.695000,5.3630,0.1565,0.0049
0.696000,5.3680,0.1567,0.0049
0.697000,5.3729,0.1576,0.0049
0.698000,5.3778,0.1582,0.0049
0.699000,5.3827,0.1585,0.0049
0.700000,5.3876,0.1592,0.0049
0.701000,5.3925,0.1604,0.0049
0.702000,5.3973,0.1620,0.0049
0.703000,5.4023,0.1615,0.0049
0.704000,5.4071,0.1628,0.0049
0.705000,5.4120,0.1644,0.0049
0.706000,5.4169,0.1636,0.0049
0.707000,5.4219,0.1597,0.0049
0.708000,5.4270,0.1541,0.0049
0.709000,5.4320,0.1517,0.0049
0.710000,5.4368,0.1527,0.0049
0.711000,5.4417,0.1524,0.0049
0.712000,5.4466,0.1508,0.0049
0.713000,5.4515,0.1509,0.0049
0.713000,5.1477,0.4929,0.0042
0.714000,5.1516,0.4951,0.0041
0.715000,5.1553,0.4996,0.0041
0.716000,5.1593,0.5010,0.0041
0.717000,5.1635,0.5002,0.0041
0.718000,5.1675,0.5020,0.0041
0.719000,5.1712,0.5064,0.0041
0.720000,5.1754,0.5056,0.0041
0.721000,5.1794,0.5065,0.0041
0.722000,5.1831,0.5107,0.0041
0.723000,5.1867,0.5157,0.0041
0.724000,5.1904,0.5199,0.0041
0.725000,5.1939,0.5249,0.0041
0.726000,5.1974,0.5308,0.0041
0.727000,5.2007,0.5384,0.0041
0.728000,5.2039,0.5468,0.0041
0.729000,5.2070,0.5557,0.0041
0.730000,5.2103,0.5631,0.0041
0.731000,5.2135,0.5706,0.0040
0.732000,5.2168,0.5769,0.0040
0.733000,5.2203,0.5818,0.0040
0.734000,5.2239,0.5856,0.0040
0.735000,5.2276,0.5893,0.0040
0.736000,5.2314,0.5905,0.0040
0.737000,5.2351,0.5935,0.0040
0.738000,5.2387,0.5969,0.0040
0.739000,5.2424,0.5996,0.0040
0.740000,5.2463,0.6011,0.0040
0.741000,5.2498,0.6051,0.0040
0.742000,5.2531,0.6111,0.0040
0.743000,5.2558,0.6221,0.0040
0.744000,5.2587,0.6306,0.0040
0.745000,5.2617,0.6387,0.0040
0.746000,5.2648,0.6463,0.0040
0.747000,5.2681,0.6514,0.0040
0.748000,5.2714,0.6565,0.0040
0.749000,5.2750,0.6594,0.0040
0.750000,5.2784,0.6639,0.0039
0.751000,5.2813,0.6721,0.0039
0.752000,5.2845,0.6783,0.0039
0.753000,5.2881,0.6808,0.0039
0.754000,5.2917,0.6835,0.0039
0.755000,5.2956,0.6837,0.0039
0.756000,5.2996,0.6828,0.0039
0.757000,5.3034,0.6839,0.0039
0.758000,5.3073,0.6838,0.0039
0.758000,5.1209,-0.7488,0.0034
0.759000,5.1243,-0.7490,0.0034
0.760000,5.1277,-0.7496,0.0034
0.761000,5.1310,-0.7502,0.0034
0.762000,5.1345,-0.7502,0.0034
0.763000,5.1380,-0.7499,0.0034
0.764000,5.1420,-0.7458,0.0034
0.765000,5.1460,-0.7418,0.0034
0.766000,5.1494,-0.7422,0.0034
0.767000,5.1529,-0.7412,0.0034
0.768000,5.1570,-0.7369,0.0034
0.768000,4.8326,-1.5243,0.0032
0.769000,4.8369,-1.5209,0.0032
0.770000,4.8411,-1.5176,0.0032
0.771000,4.8440,-1.5186,0.0032
0.772000,4.8458,-1.5230,0.0032
0.773000,4.8476,-1.5273,0.0032
0.774000,4.8499,-1.5300,0.0032
0.775000,4.8513,-1.5356,0.0032
0.776000,4.8523,-1.5424,0.0032
0.777000,4.8528,-1.5506,0.0032
0.778000,4.8535,-1.5585,0.0032
0.779000,4.8539,-1.5669,0.0032
0.780000,4.8533,-1.5787,0.0032
0.781000,4.8534,-1.5878,0.0031
0.782000,4.8535,-1.5972,0.0031
0.783000,4.8524,-1.6099,0.0031
0.784000,4.8522,-1.6201,0.0031
0.785000,4.8519,-1.6304,0.0031
0.786000,4.8516,-1.6405,0.0031
0.787000,4.8516,-1.6496,0.0031
0.788000,4.8516,-1.6587,0.0031
0.789000,4.8511,-1.6694,0.0031
0.790000,4.8513,-1.6779,0.0031
0.791000,4.8515,-1.6863,0.0031
0.792000,4.8523,-1.6927,0.0031
0.793000,4.8525,-1.7010,0.0031
0.794000,4.8539,-1.7056,0.0031
0.795000,4.8566,-1.7066,0.0031
0.796000,4.8578,-1.7119,0.0031
0.797000,4.8588,-1.7177,0.0030
0.798000,4.8601,-1.7227,0.0030
0.799000,4.8618,-1.7263,0.0030
0.800000,4.8638,-1.7294,0.0030
0.801000,4.8653,-1.7335,0.0030
0.802000,4.8680,-1.7345,0.0030
0.803000,4.8713,-1.7337,0.0030
