t,x,y,yaw,vx,vy,yaw_rate,node_index,wall_factor_valid,accel_bias_x,accel_bias_y,accel_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z
0.025,-2.4189708690975165,1.354031555833099,-7.99361358781599e-06,0.03333299837864345,0.00019769138662972807,-0.00041070523183250884,1,1,0.0499998783573835,-0.03000013850296734,-1.02536005972093e-05,-7.273516146245981e-06,-7.077955945727157e-07,0.005002892284709693
0.05,-2.4181375441380504,1.3540364981177648,-1.8261244383789745e-05,0.010641578740761973,0.003938841080770018,-0.00024875549761226105,2,1,0.04999422502141284,-0.029999980805417024,-1.746528168241919e-05,-4.374065245244036e-05,-4.660241237473285e-06,0.00501266798517672
0.076,-2.4184281485817376,1.3542324367282184,-2.0680143966262267e-05,-0.004263149430091387,0.003115920111032185,-0.00015021110238008946,3,1,0.050008298115161325,-0.030003889232214826,4.6973294571238494e-05,-6.064182971199892e-05,3.0616892700471046e-05,0.005009074175726789
0.101,-2.418354964758985,1.3541954100434275,-2.5922010605325398e-05,-0.00781810040093589,-0.003109317446758908,0.00010726721896503477,4,1,0.05001166652818122,-0.029999324628231096,0.00017411006823128634,-7.947029006447108e-05,4.7793440756213416e-05,0.005016252476249973
0.126,-2.4188190536017844,1.3540769708558804,-1.5316783017883622e-05,-0.009917236939527282,-0.005954470781524,0.00048324762806473115,5,1,0.05004513019827145,-0.0299887537347381,0.0003585516695304009,-9.303278716665482e-05,7.808875744859694e-05,0.005003276851092192
0.15100000000000002,-2.4188508266059614,1.3538976865043513,-1.7596292019915925e-06,-0.002359689114213025,-0.0007414165157104689,0.0003699317505656551,6,1,0.05004848916663295,-0.029970377042527356,0.0006087263534276025,-0.0001243114296225056,0.0001032604679274715,0.005000506248454017
0.17600000000000002,-2.418937038057495,1.354039900030095,3.179804510518821e-06,-0.004495559653951987,0.0043012655733276626,0.00044676032259438625,7,1,0.05005961352485781,-0.029993741849460114,0.0009181032382944397,-0.00013853954906825576,9.618950697897254e-05,0.005009327525583516
0.201,-2.419075604588659,1.3541127497830177,2.057838692793534e-05,-0.009245922724074875,0.0008862170069789956,0.0003992461462054565,8,1,0.05008278863013246,-0.030008341561031184,0.0012901225640329006,-0.0001289806038834388,0.00010152555131937197,0.004984579188635699
0.226,-2.419399334193699,1.3540842108804438,2.3142111820673953e-05,-0.007165990188964246,0.007997026545614185,-0.0010110767131621403,9,1,0.05016066031241208,-0.029995244494168967,0.0017209620437618229,-0.00011692908736324978,8.86089077595898e-05,0.005007311780793943
0.251,-2.419433904098107,1.3545126011102984,-2.997544872996905e-05,0.00023659693556332676,0.0030213452219829398,-0.0002920341026779737,10,1,0.05014911187302085,-0.030175092644635006,0.0021967536612059716,-0.00010545461132005946,6.788438216863772e-05,0.005167069294461385
0.276,-2.4193875043469206,1.354235278141543,8.54040668655741e-06,0.0041168537679059335,-0.003696413551286245,0.000511232182311971,11,1,0.050092750163583756,-0.029963684676355858,0.002721798502072444,-0.00010827234386745813,5.4343372425618303e-05,0.005042294882609239
0.30100000000000005,-2.419228061409712,1.354327780432734,-4.413839614458574e-06,0.002935692427081805,-0.00024298161617419828,-0.0003287686956543468,12,1,0.04994259728587288,-0.030014169076578456,0.0032963531074390196,-9.904844305812868e-05,4.194752660833297e-05,0.0050827814249217555
0.326,-2.4192407197255665,1.3542231290607343,-7.898028096319555e-06,-0.0020837383133720526,-0.002377141252805082,8.857479504520428e-05,13,1,0.04992737964019638,-0.02985735352384496,0.003926260298104292,-9.838976076651136e-05,2.606129049815233e-05,0.005073806546743181
0.35100000000000003,-2.4193322483253805,1.3542089233700938,1.4900137707400087e-08,0.00013704351466969913,0.0005823889520506499,0.00042108157980003124,14,1,0.05000903106383067,-0.02980499178877654,0.004607884610616025,-0.00010292039368547343,4.386989777432969e-06,0.005039806039926789
0.376,-2.419233867549833,1.3542522485083368,1.3156050893506195e-05,0.004068272922577166,0.0014675202997382901,6.918394846344712e-05,15,1,0.04982084099805566,-0.029834779242748792,0.005334791088230205,-0.00010472694880787965,-1.9671180221475037e-07,0.0050301962160579925
0.401,-2.4191288346792517,1.3542822993850807,3.47409756097416e-06,0.0014110522226040687,-0.0005800977171155347,0.00013527757728226664,16,1,0.049597596382086585,-0.029837361736178077,0.006095988010649005,-9.341944368317024e-05,1.2279569387530726e-06,0.005078801723787044
0.42600000000000005,-2.419163314938703,1.354223243622481,1.9919929757527245e-05,-0.0017682818179043385,-0.0018604336635297263,0.0010040864568683363,17,1,0.04964639722074608,-0.02964171836019919,0.006869283998352348,-7.825130198615163e-05,4.773122248528368e-06,0.0050455986318635945
0.451,-2.419217248770147,1.3541892777019042,5.367842040436021e-05,-0.0007464517249911042,-0.001098314631593489,-0.0002789983425444121,18,1,0.04973649048049331,-0.02951474702426543,0.00763972415836732,-6.161121146549882e-05,4.7592029645927505e-06,0.004976715067765824
0.47600000000000003,-2.4192006375249524,1.3541683278909014,5.970012630178655e-06,0.004280349321907907,0.0018029168235145225,-0.0025228617342865083,19,1,0.04964514605266988,-0.02942177055820166,0.008386424427616944,-4.563171973711903e-05,-3.883913749436441e-06,0.00507806989636057
0.501,-2.4190032313040515,1.35427942354308,-7.24646663098987e-05,0.003565883696090567,0.0004888515836487529,-0.0014023680676000796,20,1,0.04896178109797495,-0.029794814438917117,0.00908528541720023,-2.6030401318844306e-05,-8.677051180627199e-06,0.0052408213639940585
0.526,-2.419022343340148,1.3541927704700838,-6.41483907500237e-05,-0.0018692841239875673,0.0007756054931640215,-0.0006700520898039736,21,1,0.04901670461971758,-0.029401146997561623,0.009713042289056912,-1.5199791718801017e-05,-5.862167024834596e-06,0.005234995826007547
0.551,-2.419096695510251,1.3543182038177382,-0.00010596727080029308,-0.0010873454469795254,0.0017500832779626648,-0.00032666612140630464,22,1,0.04928713068535366,-0.029920037566301735,0.010247004944167628,1.3474067689318608e-06,-7.669235774797812e-07,0.005315386004478694
0.5760000000000001,-2.419076710612497,1.354280274633982,-8.048169682053406e-05,0.0037579976902524202,0.000815293988036813,-0.0013574582025643865,23,1,0.049170108697506494,-0.029664550335541016,0.01067010558291122,1.6812721015248084e-05,-2.148347265926804e-06,0.005236718291859829
0.6010000000000001,-2.4189087956257382,1.35435896851714,-0.00017384018092859587,0.004763486191974315,-0.0010048421815067612,-0.0008637836801206345,24,1,0.04840581410568529,-0.02999992748317917,0.01097429813291658,3.202550762924709e-05,-6.551667129997984e-06,0.005375158352318392
0.626,-2.418838536302898,1.3542300325249066,-0.00012367088082648568,0.0014936461560122202,-0.004341627050705738,0.001042732672464909,25,1,0.04813266594860298,-0.029266295675501076,0.011151094712598697,3.857238067890756e-05,-1.1433390993271075e-05,0.005303175217269233
0.651,-2.4188341133179376,1.3541418871646047,-0.00012170354730536658,-0.0016154531261669532,-0.004862315808922264,0.0010041544199523847,26,1,0.048207630055112555,-0.028786882450654104,0.011208779271515545,4.152309377767173e-05,-1.5688275200148358e-05,0.005286430353576254
