t,x,y,yaw,vx,vy,yaw_rate
0.14,-2.418850309736575,1.35415613954675,-7.063582614229252e-06,0.0010332092652554073,0.0012313526105423012,0.0007609936751862272
0.14100000000000001,-2.4188492765273097,1.3541573708993606,-6.302588938835587e-06,1.1279422995527078,-0.030622277040759344,-0.0011990658486116235
0.14200000000000002,-2.4165944251374696,1.3540948949926686,-9.461714311403057e-06,0.012151954693617729,-0.023305330359694527,0.002318976695262855
0.14400000000000002,-2.418812820663229,1.3540874549082815,6.543411467418067e-07,-0.7393384510169606,-0.00227870741986713,0.003485975202869674
0.14500000000000002,-2.4188124404905205,1.354088058870409,9.96211297341978e-07,0.0003836347524099889,0.0006028742240982149,0.00031229537489352283
0.14600000000000002,-2.418812053393724,1.3540886606567297,1.2789318964134008e-06,0.0003890065831679831,0.000599395690081827,0.00019739308676491857
0.14700000000000002,-2.418811662477354,1.3540892576617891,1.3909974708576302e-06,0.00039044354105399715,0.0005946116472532731,0.00015630838379188092
0.14800000000000002,-2.418811272506642,1.3540898498800242,1.591548664212926e-06,0.0003873664622400238,0.0005887995278008867,0.00016184455442491683
0.14900000000000002,-2.4188108877444296,1.3540904352608447,1.7146865797241528e-06,0.0003829596921800512,0.0005810505411263373,7.409512647882359e-05
0.15000000000000002,-2.4188105065872576,1.3540910119811065,1.7397389172809385e-06,0.00038093564591612473,0.0005709514255824994,5.0441010035484576e-05
0.15100000000000002,-2.418810125873138,1.3540915771636959,1.8155685997436576e-06,0.00038104414135098846,0.0005582782339752585,-2.8679322694458537e-05
0.152,-2.418809744498975,1.3540921285375744,1.682380271903908e-06,0.00038377987254812284,0.0005439934227524716,-0.00010283558249391112
0.153,-2.4188093583133927,1.3540926651505414,1.6098974349283727e-06,0.0003911849701943023,0.000530464327574975,-6.355214798858805e-05
0.154,-2.4188089621290345,1.3540931894662296,1.5552759757120158e-06,0.0003994912260996127,0.0005197108169374682,-0.00013946471244530287
0.155,-2.4188085593309405,1.3540937045721753,1.3309680101594383e-06,0.000403922121527955,0.0005128047100289019,6.687410203376482e-05
0.156,-2.4188081542847915,1.3540942150756496,1.6890241796256573e-06,0.0004065449408230389,0.000510502859429884,0.00010203829026167445
0.157,-2.418807746241059,1.3540947255778941,1.5350445906261673e-06,0.0004100561497022422,0.00051148462820727,-0.00010561878571735396
0.158,-2.418807334172492,1.354095238044906,1.4777866083352925e-06,0.0004163136597679081,0.0005141035311906346,-0.00016098984390033863
0.159,-2.4188069136137393,1.3540957537849565,1.2130649029998945e-06,0.00042758226315164867,0.0005166179068982753,-0.00026971047439872087
0.16,-2.4188064790079657,1.3540962712807199,9.383656596847612e-07,0.00044199008897294296,0.000518726962828175,-0.0003607487668588757
0.161,-2.4188060296335614,1.3540967912388822,4.915673694293359e-07,0.00045495409661810944,0.0005214247648099852,-0.00035807929243958337
0.162,-2.4188055690997725,1.3540973141302495,2.222070748203804e-07,0.0004657397738583309,0.0005233279686267518,-0.00033545624344988285
0.163,-2.4188050981540137,1.3540978378948194,-1.7934511758172547e-07,-0.04398854610121457,-0.2119891918446191,-0.003943467533851216
0.163,-2.4188495576458737,1.3538853249384049,-3.721260459076764e-06,-0.04429171992947896,-0.2135411270125507,-0.0037414025397808325
0.164,-2.418849389873943,1.3538842967678069,-3.920747657402126e-06,0.00017148768671759724,-0.0010287689039545347,-0.00014188807817561142
0.165,-2.4188492146705003,1.353883267400597,-4.005036615546248e-06,0.00017781328187638207,-0.0010300411787955701,8.762451786381567e-05
0.166,-2.4188490342473794,1.3538822366854493,-3.7454986214953334e-06,0.00018249109734469455,-0.0010286149220162235,0.00033165969370862997
0.167,-2.4188488496883056,1.353881210170753,-3.3417172282718276e-06,0.00018712239491236444,-0.00102262876511272,0.00030588234434247825
0.168,-2.4188486600025896,1.353880191427919,-3.1337339327796273e-06,0.00019156237129891435,-0.0010147649631697666,0.0003364972536168406
0.169,-2.418848466563563,1.3538791806408266,-2.6687227211969217e-06,0.00019464684286596407,-0.0010044341917092572,0.0005643991547454869
0.17,-2.418848270708904,1.3538781825595356,-2.0049356232050944e-06,0.0001982333444061622,-0.0009898248189976746,0.000549465272170479
0.171,-2.418848070096874,1.3538772009911886,-1.5697921767729643e-06,0.00020248179466442176,-0.0009740610366071314,0.0005186808993418164
0.17200000000000001,-2.4188478657453145,1.3538762344374624,-9.675738245437219e-07,0.00020331014294328024,-0.0009616063156858692,0.0005321701137539487
0.17300000000000001,-2.4188476634765883,1.3538752777785572,-5.054519491559201e-07,0.0002003343340106765,-0.0009549542130393709,0.000541198741599302
0.17400000000000002,-2.4188474650766465,1.3538743245290363,1.1482365855509314e-07,0.00019700958486801296,-0.0009532858457061968,0.0006834716574921622
0.17500000000000002,-2.4188472694574186,1.3538733712068658,8.614913659576833e-07,0.0001936310995986899,-0.0009539381531364901,0.000771079657235773
0.17600000000000002,-2.4188470778144473,1.35387241665273,1.6569829729752503e-06,0.00019072731616276412,-0.0009560569378397324,0.0007759104363458385
0.17700000000000002,-2.4188468880027862,1.3538714590929901,2.4133122386397127e-06,0.0001905800224299979,-0.0009607228632635403,0.0007576606768644461
0.17800000000000002,-2.4188466966544024,1.3538704952070035,3.1723043265116997e-06,0.00019327226219445476,-0.0009694275220351036,0.0005456854317298361
0.17900000000000002,-2.418846501458262,1.353869520237946,3.5046831020369764e-06,0.00019879596591110252,-0.0009828109492904238,0.0003128120966700007
0.18000000000000002,-2.4188462990624706,1.353868529585105,3.7979285197557494e-06,0.00020666469002783553,-0.000997693550996991,0.00033231543405953774
0.18100000000000002,-2.418846088128882,1.353867524850844,4.169313970137341e-06,0.00021497427882266588,-0.0010099490692638815,0.0003205726579746934
0.18200000000000002,-2.418845869113913,1.3538665096869664,4.439073835652802e-06,0.0002207500451323339,-0.0010181001393050329,0.00011832434587688556
0.18300000000000002,-2.4188456466287915,1.3538654886505654,4.4059626620295616e-06,0.0002213754803914723,-0.0010232085295713836,0.00027004893454751744
0.18400000000000002,-2.418845426362952,1.3538644632699073,4.9791717047254214e-06,0.0002185402467880266,-0.001027845938805796,0.0006951389970311174
0.185,-2.418845209548298,1.3538634329586878,5.796240655888205e-06,0.00021402848648932883,-0.001033583834297871,0.0007877205894235675
0.186,-2.418844998305979,1.3538623961022387,6.5546128834269005e-06,0.00020731140804031137,-0.0010414731177466044,0.0008816850940451807
0.187,-2.418844794925482,1.3538613500124523,7.559610843965524e-06,0.0001993852789539117,-0.0010503745032641723,0.0008327268889996013
0.188,-2.4188445995354213,1.3538602953532322,8.220066661625768e-06,0.00019122414762762202,-0.001059641896228313,0.0007314373793310118
0.189,-2.4188444124771866,1.3538592307286599,9.022485602407087e-06,0.0001833354279501263,-0.001068053126385137,0.0008622849299033667
0.19,-2.4188442328645654,1.3538581592469794,9.944636521475436e-06,0.00017769992255445272,-0.0010723931049838589,0.0009034323384948798
0.191,-2.4188440570773415,1.35385708594245,1.0829350279491333e-05,0.00017474211810863933,-0.0010736960291968236,0.0008601753989090347
0.192,-2.418843883380329,1.353856011854921,1.1664987319322424e-05,0.00017281612008090958,-0.0010741287571613958,0.0008623170384414173
0.193,-2.4188437114451014,1.3538549376849356,1.2553984356168862e-05,0.0001714464048507834,-0.0010740046157975405,0.0009070368676145072
0.194,-2.4188435404875195,1.3538538638456894,1.347906105466579e-05,0.00017013238551299975,-0.0010730893476029726,0.0008433987856992779
0.195,-2.4188433711803303,1.3538527915062404,1.4240781927742396e-05,0.0001686033594960888,-0.0010708022102345885,0.0006838266835007538
0.196,-2.4188432032808005,1.353851722241269,1.4846714421803688e-05,0.00020772368608534814,-0.0009472478842605563,8.381401013039337e-05
0.24300000000000002,-2.4188334004433982,1.3538073236077959,1.826385441384492e-05,0.0002091663552176529,-0.0009396636151727993,6.6981135101359e-05
0.24400000000000002,-2.41883316329575,1.3538066183877406,1.806180890664645e-05,0.00023612083022150876,-0.0006948937739670307,-0.00024188275959957629
0.24500000000000002,-2.418832928201738,1.353805933820248,1.778008889461488e-05,0.00023558655870559143,-0.0006751032599616729,-0.00033625929329872373
0.24600000000000002,-2.4188326921226326,1.3538052681812207,1.7389290319904905e-05,0.0002377096111061403,-0.0006567366390708424,-0.00022643585473325326
0.24700000000000003,-2.4188324527825156,1.3538046203469698,1.7327217185216004e-05,-0.13257821811274428,0.24820354112375909,0.0008344610065158512
0.24700000000000003,-2.4189652703407454,1.3540534717223445,1.8223751326547873e-05,-0.13317684272129415,0.24936881817949597,0.0012020981028371114
0.24800000000000003,-2.418965629625237,1.3540539891651493,1.8529315288033e-05,-0.0003569144391146747,0.0005246233467648405,0.0002152532199151123
0.24900000000000003,-2.4189659841696236,1.354054520969038,1.865425776629513e-05,-0.00035298131839667696,0.0005379027190333188,9.160221248194608e-05
0.25,-2.4189663355878737,1.3540550649705874,1.8712519712873377e-05,-0.0003505411150239769,0.0005495915276210255,9.83634493856313e-05
0.251,-2.4189666852518537,1.3540556201520932,1.885098466516949e-05,-0.00034807259119418144,0.0005599819353774288,0.0001555013804388493
