t_stamp,x,y,yaw,vx,vy,confirmed_t,dtij,path
0.096000000000000002,-2.4189768636397435,1.3540149772527572,-2.0884347507983837e-05,0.00034873422551083598,0.00012191210086999785,0.025000000000000001,0.071000000000000049,1
0.097000000000000003,-2.4189765118618185,1.3540151030299283,-2.0949822952372947e-05,0.0003548216241997023,0.00012964224121593415,0.025000000000000001,0.07200000000000005,0
0.097000000000000003,-2.4182100972471248,1.3540304944840482,-2.4283374609414118e-05,0.0080260835366371026,0.00025171721471751952,0.050000000000000003,0.047000000000000035,1
0.098000000000000004,-2.4182020674046942,1.354030747945048,-2.4630686800162877e-05,0.0080336013243205266,0.00025520478476535625,0.050000000000000003,0.048000000000000036,0
0.098000000000000004,-2.4185228487097659,1.3541936126832266,-1.8551616928777648e-05,0.0048554399012523649,0.0018988398350697851,0.075999999999999998,0.022000000000000013,1
0.099000000000000005,-2.4185179922617501,1.3541955116553388,-1.853948061704797e-05,0.0048574561297291532,0.0018991043892369406,0.075999999999999998,0.023000000000000013,0
0.10100000000000001,-2.4184970062930868,1.3541523771922981,-2.5974602251591847e-05,0.0049314875725809176,0.0014440968620216363,0.10100000000000001,0,1
0.10199999999999999,-2.4184920738309832,1.3541538186951605,-2.6280671113339562e-05,0.0049334366348257989,0.0014389088629056055,0.10100000000000001,0.001,0
0.10299999999999999,-2.4184871400222607,1.3541552570670394,-2.6829170095179525e-05,0.0049341808098209445,0.0014378348947807506,0.10100000000000001,0.002,0
0.104,-2.4184822067707787,1.3541566981031041,-2.7424696543217073e-05,0.0049323221540364965,0.0014442372347449948,0.10100000000000001,0.0030000000000000001,0
0.105,-2.4184772742454572,1.3541581451581128,-2.7967556319810133e-05,0.0049327284889729888,0.0014498727825690172,0.10100000000000001,0.0040000000000000001,0
0.106,-2.418472341214057,1.3541595946464335,-2.8943253489260795e-05,0.004933334311987881,0.001449103858898456,0.10100000000000001,0.0050000000000000001,0
0.107,-2.4184674113103752,1.3541610432789644,-3.0038355375011752e-05,0.0049264730515384061,0.0014481612027277811,0.10100000000000001,0.0060000000000000001,0
0.108,-2.4184624873715741,1.3541624951302462,-3.0863939590635703e-05,0.0049214045505422948,0.0014555413611308451,0.10100000000000001,0.0070000000000000001,0
0.126,-2.4188169180634591,1.3540741756227141,-1.5281106714511456e-05,0.0013137963386801775,0.00070515490671215809,0.126,0,1
0.127,-2.418815605037429,1.3540748857077314,-1.5392299175007143e-05,0.0013122557215874526,0.00071501512781775296,0.126,0.001,0
0.128,-2.418814289053159,1.3540756046318441,-1.5415645548330571e-05,0.0013197128186800695,0.00072283309735883517,0.126,0.002,0
0.129,-2.4188129707032839,1.3540763266305265,-1.6050918697839971e-05,0.0013169869311022069,0.00072116426770753664,0.126,0.0030000000000000001,0
0.13,-2.4188116559010551,1.3540770507937905,-1.6416230728737358e-05,0.0013126175263384547,0.00072716226005155554,0.126,0.0040000000000000001,0
0.13100000000000001,-2.4188103473096496,1.3540777802049395,-1.6792217332364041e-05,0.0013045652849817781,0.00073166003815142622,0.126,0.0050000000000000001,0
0.13200000000000001,-2.4188090437934759,1.3540785168304099,-1.6926052302973927e-05,0.0013024670624571637,0.00074159090270618322,0.126,0.0060000000000000001,0
0.13300000000000001,-2.4188077431680268,1.3540792624704632,-1.6873219804520037e-05,0.0012987838357925536,0.00074968920381663739,0.126,0.0070000000000000001,0
0.13400000000000001,-2.4188064490213685,1.3540800178766688,-1.6943869022859387e-05,0.0012895094805722561,0.00076112320734767229,0.126,0.0080000000000000002,0
0.13500000000000001,-2.4188051658732488,1.3540807819922362,-1.6660327582769423e-05,0.0012767867587990594,0.00076710792748489124,0.126,0.0090000000000000011,0
0.13600000000000001,-2.4188038950156483,1.3540815527377053,-1.6199643063420126e-05,0.0012649284420341001,0.00077438301042013016,0.126,0.010000000000000002,0
0.13700000000000001,-2.4188026376314071,1.3540823279580763,-1.5277073776652948e-05,0.0012498400404400045,0.00077605773165629005,0.126,0.011000000000000003,0
0.13800000000000001,-2.4188013922593341,1.3540831046005524,-1.4510170723336394e-05,0.0012409041060626738,0.00077722722054737281,0.126,0.012000000000000004,0
0.13900000000000001,-2.4188001565507666,1.3540838845274688,-1.3758189428717572e-05,0.0012305130284204816,0.00078262661250964947,0.126,0.013000000000000005,0
0.14000000000000001,-2.4187989312897424,1.3540846711474035,-1.3209847459906238e-05,0.0012200090205173276,0.00079061325662178026,0.126,0.014000000000000005,0
0.14099999999999999,-2.4187977168318695,1.3540854678312884,-1.2865185123990588e-05,0.0012089067252288085,0.00080275451324640591,0.126,0.015000000000000006,0
0.14199999999999999,-2.4187965110870437,1.3540862742130337,-1.2722200951304202e-05,0.0012025829263916856,0.00081000897736089868,0.126,0.016000000000000007,0
0.14299999999999999,-2.4187953113284006,1.3540870890307217,-1.2461522807862725e-05,0.0011969343593950822,0.00081962639868014397,0.126,0.017000000000000008,0
0.14399999999999999,-2.4187941145421572,1.3540879125551102,-1.1886960905945156e-05,0.0011966381278403519,0.00082742237857886549,0.126,0.018000000000000009,0
0.14499999999999999,-2.4187929182729926,1.354088743795963,-1.1188990813003968e-05,0.0011959002011001966,0.00083505932680824862,0.126,0.01900000000000001,0
0.14599999999999999,-2.4187917211845571,1.3540895816997756,-1.0276305652375103e-05,0.0011982766698179648,0.00084074829814544116,0.126,0.020000000000000011,0
0.14699999999999999,-2.4187905210520286,1.3540904252101871,-9.3434727701954119e-06,0.0012019883872984543,0.00084627252503725967,0.126,0.021000000000000012,0
0.14799999999999999,-2.4187893207729383,1.3540912756836472,-8.2601293417332505e-06,0.0011985697934262804,0.00085467439537382573,0.126,0.022000000000000013,0
0.14899999999999999,-2.4187881236602808,1.35409213135009,-7.0944181209512272e-06,0.0011956555216009197,0.00085665848997132225,0.126,0.023000000000000013,0
0.14999999999999999,-2.4187869262551294,1.3540929897306664,-5.9864646220301332e-06,0.0011991547806906883,0.00086010266304508147,0.126,0.024000000000000014,0
