t,x,y,yaw,vx,vy,yaw_rate
0.251,-2.419346160310098,1.3551926988842729,7.142011295910372e-06,-0.0012618131366437513,0.005468120078511158,0.00013997420822420268
0.252,-2.4193474221232347,1.3551981670043514,7.28198550400435e-06,-0.0012594030140977697,0.00547212855528389,-0.00013354232830664603
0.253,-2.4193486791161263,1.3552036431413834,6.874926639412964e-06,-0.0012541577938396376,0.00547749220358717,-0.0004353366542808597
0.254,-2.4193499304388224,1.3552091219887585,6.411312195487984e-06,-0.0012474104535975517,0.005478437582584478,-0.00032806497851645106
0.255,-2.4193511739370335,1.3552146000165486,6.218796682475393e-06,-0.0012386701442324,0.005476188749797823,-0.00016102444266863345
0.256,-2.419352407779111,1.3552200743662581,6.089263310134889e-06,-0.0012295801525841188,0.0054724565531349915,-0.00013342005078520447
0.257,-2.4193536330973386,1.3552255449296549,5.951956580950147e-06,-0.0012210307622773076,0.005469936203317255,-9.659787925109234e-05
0.258,-2.4193548498406354,1.3552310142386648,5.896067551750042e-06,-0.001212043791776195,0.005470608309465769,-7.143943214771292e-06
0.259,-2.419356057184922,1.3552364861462738,5.937668694417587e-06,-0.0012029981737438067,0.0054735055381449575,-5.702411898234056e-05
0.26,-2.419357255836983,1.355241961249741,5.782019314001521e-06,-0.001196039401074599,0.005474748167033633,-3.5329107195281006e-05
0.261,-2.4193584492637243,1.3552474356426079,5.867010480049032e-06,-0.0011927214194074043,0.005473471831440863,0.00034627408251886006
0.262,-2.4193596412798217,1.355252908193404,6.474567478919794e-06,-0.0011925561422820852,0.0054711288914877036,0.0005833380205544353
0.263,-2.419360834376009,1.3552583779003908,7.0336865210492454e-06,-0.001194901747991749,0.005467057516694846,0.0005278109080908418
0.264,-2.4193620310833177,1.3552638423084373,7.5301892949989126e-06,-0.00119841692614031,0.005461538738371624,0.0004891188647437868
0.265,-2.419363231209861,1.3552693009778676,8.01192425048314e-06,-0.001201373498238566,0.0054573440668725885,0.0005877315194524607
0.266,-2.419364433830314,1.355274756996571,8.705652333766478e-06,-0.0012045041342112473,0.005455187939928935,0.0005554512176875187
0.267,-2.4193656402181296,1.3552802113537474,9.122826685892135e-06,-0.0012090269969622358,0.0054518456327201596,0.0003879325205513592
0.268,-2.419366851884308,1.3552856606878365,9.481517374670093e-06,-0.0012129768605095837,0.005445955844063372,0.00028286680708866613
0.269,-2.4193680661718506,1.3552911032654356,9.688560300017318e-06,-0.001214991007802978,0.005439509502713763,9.81473466943327e-05
0.27,-2.4193692818663237,1.355296539706842,9.677812068108183e-06,-0.0012162308469232375,0.005434300828,5.991862006560206e-05
0.271,-2.4193704986335445,1.3553019718670916,9.808397540315511e-06,-0.0012167020377873417,0.005430126817529407,0.00012837679141952652
0.272,-2.4193717152703993,1.355307399960477,9.93456565076836e-06,-0.0012171252246062625,0.005425195164443503,0.0002890934873711612
0.273,-2.4193729328839937,1.3553128222574204,1.0386584515109305e-05,-0.0012173090067069115,0.005419755710667213,0.00048737082347649575
0.274,-2.4193741498884127,1.3553182394718983,1.0909307297723575e-05,-0.0012154825685950488,0.005414493712718732,0.00037341294967241335
0.275,-2.419375363849131,1.3553236512448459,1.1133410414597923e-05,-0.0012113816763026353,0.0054092571614150434,4.393447672335067e-05
0.276,-2.4193765726517653,1.3553290579862212,1.0997176251073303e-05,-0.001207054959095898,0.005405245839917855,-0.00010364805302920378
0.277,-2.419377777959049,1.3553344617365257,1.0926114308359185e-05,-0.001206418997812263,0.00540316891151082,4.782544360537595e-06
0.278,-2.419378985489761,1.3553398643240442,1.1006741339676881e-05,-0.001208961098120297,0.005403509314771954,1.6071083797086758e-05
0.279,-2.4193801958812453,1.3553452687551553,1.0958256476078142e-05,-0.001211566142522712,0.005406081613368302,-4.5108065949150914e-05
0.28,-2.419381408622046,1.355350676487271,1.0916525207688111e-05,-0.0012140321805631505,0.005409277093137982,3.714351137773516e-05
