t,x,y,yaw,vx,vy,yaw_rate,node_index,wall_factor_valid,accel_bias_x,accel_bias_y,accel_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z
0.025,-2.4189710283397843,1.3540289861159926,-1.544045971805095e-05,0.03116896459690821,0.00042234591347778405,-0.0006833394739480525,1,1,0.04999989980886632,-0.030000105058513794,-2.8756247255005095e-06,-1.0153064861455197e-06,-2.4863772607114896e-06,0.005014819178440683
0.05,-2.4181918042248616,1.3540395447638296,-3.252394656680428e-05,0.011799738994275062,0.0038019508650929904,-0.0003674227077968981,2,1,0.049994598489391,-0.029999940917670435,8.301286403730981e-06,-2.1628218702674735e-05,-7.669014712455142e-06,0.0050438656921237375
0.076,-2.4183692416510763,1.3542228856101124,-3.417901781550157e-05,-0.002222924105859898,0.0029157826225591995,-0.00020437611537778532,3,1,0.0500059508020982,-0.03000259003178282,6.60858263496466e-05,-3.274295206283397e-05,1.8745840124449874e-05,0.005033960183859372
0.101,-2.4183051733542604,1.3541882496775801,-4.294712845098333e-05,-0.009856425741459063,-0.003376297307227105,0.00015922110438992831,4,1,0.05000998157881538,-0.029999439962197456,0.00017160193870500225,-4.926941142769609e-05,3.591526397576617e-05,0.005053915476248637
0.126,-2.418862062938149,1.354054070744751,-2.6217962596183925e-05,-0.011632410756039487,-0.00669993999308893,0.0006389844761933714,5,1,0.05003949124142451,-0.029991885395596902,0.00031733315123114636,-6.428551052936569e-05,6.871256684498031e-05,0.005009414117629404
0.15100000000000002,-2.4188867938920624,1.3538532526779257,-1.099790464122832e-05,-0.002297643593252018,-0.0003269724828003361,0.00029639379659940335,6,1,0.05004071920008535,-0.029978613570550035,0.0005089926208778835,-9.976069827863024e-05,9.700593356251261e-05,0.004998810439070682
0.17600000000000002,-2.418976945117812,1.354037722120611,-1.1398272766093985e-05,-0.004755242506933045,0.005396858929547222,0.0007550785079946112,7,1,0.05004912539333722,-0.030000498238985727,0.0007416692756958975,-0.0001160387485650097,8.990020340018259e-05,0.005029506615660263
0.201,-2.419124556017409,1.354123095624403,2.6756020758293307e-05,-0.009347594164950125,0.0010771101128259632,0.0005342601562841055,8,1,0.050069331573685975,-0.030013646549148107,0.0010192339877032432,-0.00010702942566471533,9.700802860713722e-05,0.004923195330176017
0.226,-2.4194443248260593,1.3540915776262523,1.5314735048101974e-05,-0.0069797518103520435,0.0078400071007545,-0.0030114288717175705,9,1,0.05013945159873932,-0.030001225762537557,0.0012980562389797998,-9.81468985130502e-05,8.587631180086803e-05,0.005001697747631954
0.251,-2.4194735436079267,1.3545150959794408,-0.00012381542282742617,0.0004776741612122491,0.0029867361512048154,-0.0006582184028758318,10,1,0.050120613324814225,-0.030150836847169783,0.0015947552763241593,-8.876790191580677e-05,6.743702763860265e-05,0.005450833581801699
0.276,-2.4194204411179987,1.3542409144338126,-1.7596185095758587e-05,0.004640033574840881,-0.0036119157819358674,0.0015094536793913691,11,1,0.050058042846318956,-0.029973171131877002,0.0019021464013022319,-9.332155636745537e-05,5.5634070454193636e-05,0.005089535869697682
0.30100000000000005,-2.4192415419291846,1.354334500190344,-4.83427388579503e-05,0.003522683021284224,-0.000546067559161756,-0.0005255575902474164,12,1,0.04990729240047908,-0.030014042323571,0.0022014579437676703,-8.597537350191789e-05,4.353699149102414e-05,0.005179459533219278
0.326,-2.4192443069669345,1.3542136110558545,-4.387406460814921e-05,-0.001995634787244072,-0.0028711764304478753,0.0006111928155672076,13,1,0.049891444394263344,-0.029886045196053094,0.0024731035621554254,-8.749658038331011e-05,2.8375096903861758e-05,0.005141234272888024
0.35100000000000003,-2.419341323668547,1.3541909413688216,-1.7783098079592993e-05,0.0006733283442539318,0.00044711069335345865,0.0008961242539040628,14,1,0.049965561723048044,-0.029849859030566812,0.002702174506987522,-9.398709846241027e-05,7.701799605135007e-06,0.005054186276470842
0.376,-2.419210640549722,1.3542359665905221,9.321480871242078e-07,0.00546939652195988,0.001496994308589628,-0.00017286414792039298,15,1,0.04980283006474744,-0.029879435684444195,0.002883100587902232,-9.699457758648381e-05,4.0652172251737965e-06,0.005029533025905258
0.401,-2.419067853842449,1.354265791084251,-2.64263054756928e-05,0.0020528835905597714,-0.0010806878984448423,9.550401506075437e-05,16,1,0.04963420412079925,-0.029888262345188384,0.0030164507531912094,-8.56984882454041e-05,6.019168380863704e-06,0.005121108125117675
0.42600000000000005,-2.419107996370194,1.3541819321956,5.707348840262508e-06,-0.0021802308420415533,-0.002653779837644699,0.001840375437396347,17,1,0.049698718514530504,-0.029766569459139417,0.0031032907157045406,-7.106053489551421e-05,1.0425818077377632e-05,0.00504917303602687
0.451,-2.419176865384551,1.3541331020923688,6.559246639391473e-05,-0.0008233680577252047,-0.0015716177945312997,-0.0004320600538587628,18,1,0.049787796099349926,-0.02970681274134767,0.0031532512564155938,-5.5448483811828174e-05,1.055643551733297e-05,0.004921951423637717
0.47600000000000003,-2.41914916477308,1.3541033513058733,-1.5895653852793126e-05,0.0064176243730340605,0.0026344788694965264,-0.00420538850568697,19,1,0.04974500588999183,-0.029678356853452385,0.003174051009502506,-4.101553099401338e-05,4.1622123857212554e-07,0.005098604294502794
0.501,-2.418855984165899,1.3542648260358436,-0.0001446769588904901,0.0051347834354231745,0.0006399515520261191,-0.0022405065187314226,20,1,0.04934399962002315,-0.029910152867806877,0.0031719797963344464,-2.2110591969968243e-05,-6.260452416514763e-06,0.005364609291501505
0.526,-2.418892425601309,1.3541353488834746,-0.00012792097978922348,-0.0032032479454180388,0.0012317974197317827,-0.0008749276692476819,21,1,0.04944331903511536,-0.02971538282689548,0.0031527233768549913,-1.3908975953791149e-05,-2.832865648239601e-06,0.005336545688673474
0.551,-2.41901614656317,1.3543264159068302,-0.00018842334235269226,-0.001997298625919795,0.0025577158328582406,-0.00013371560275921002,22,1,0.04964825535862061,-0.02998889792107099,0.0031204106033148244,1.4313779996056242e-06,3.2755185371779553e-06,0.005448935653635094
0.5760000000000001,-2.418992290532605,1.3542632346751176,-0.00013460675992698444,0.005536418585609932,0.0011064577218711225,-0.0014503193551007585,23,1,0.049622207750160754,-0.029869056021790505,0.003078974803192672,1.5912601108588713e-05,8.177043411658535e-07,0.0053117747801368085
0.6010000000000001,-2.4187393256338896,1.3543817387929238,-0.00026093931010774603,0.0067632576404896925,-0.0017169141959350067,-0.0010000458903025602,24,1,0.049289610125471145,-0.03001897482560041,0.0030326985261999477,2.9475225730112985e-05,-5.5659552175627435e-06,0.005507854117346397
0.626,-2.4186541276505804,1.3541773889653208,-0.00018460905444193208,0.001151968606487587,-0.006727098617753677,0.0017580432504971124,25,1,0.04923774420957773,-0.029711310034751904,0.002982838983007114,3.360222027777818e-05,-1.2333504550566953e-05,0.005384818025769538
