t,x,y,yaw,vx,vy,yaw_rate
0.08,1.000004387297943,-0.9999996143202169,1.569980853758333,1.563976592677817e-05,6.299496213557626e-05,-0.0006391190581211953
0.081,1.0000044029377089,-0.9999995513252548,1.5699802146392752,1.4947474369364486e-05,6.591025758506669e-05,-0.0005465497796564018
0.082,1.0000044171928917,-0.9999994824997017,1.569979760658774,1.6271032632353397e-05,7.07781984132793e-05,-0.00036497342481567297
0.083,1.0000044354797741,-0.9999994097688579,1.5699794846924253,2.239634011580447e-05,7.641980243056061e-05,-0.00021858611476410753
0.084,1.000004461985572,-0.9999993296600969,1.5699793234865445,3.166437823054477e-05,8.42688425151116e-05,-5.91930793270023e-05
0.085,1.0000044988085306,-0.9999992412311729,1.5699793663062667,4.188299052021446e-05,9.254349780940521e-05,7.33237284222809e-05
0.08600000000000001,1.000004545751553,-0.9999991445731012,1.5699794701340015,5.0171357957040594e-05,0.00010101553943320231,-0.00011485754480844424
0.08700000000000001,1.0000045991512465,-0.999999039200094,1.5699791365911773,5.523950430408315e-05,0.0001093269763607906,-0.00014819458460380006
0.08800000000000001,1.0000046562305616,-0.9999989259191485,1.5699791737448323,5.742560582611128e-05,0.00011655212800443227,0.00012448072683746137
0.08900000000000001,1.0000047140024582,-0.999998806095838,1.569979385552631,5.713196871148791e-05,0.00012227650142415658,0.000384574632139589
0.09000000000000001,1.000004770494499,-0.9999986813661457,1.5699799428940964,6.908717912908331e-05,0.00013135098722835445,0.0002193709096800299
0.1,1.0000054739614286,-0.9999973612349785,1.5699817986326374,7.055570067587334e-05,0.0001336637997557072,0.000120341274077098
0.101,1.0000055466072064,-0.9999972110643484,1.5699812666481112,7.12390428869724e-05,0.00014997793412740976,-0.0005555005229140869
0.10200000000000001,1.0000056164395144,-0.9999970612791103,1.5699806876315916,6.674773689319119e-05,0.00014950964094539984,-0.0005526812048017854
0.10300000000000001,1.0000056801026802,-0.9999969120450665,1.5699801612857014,6.237150107502026e-05,0.00014957339400378786,-0.0007427663519798948
0.10400000000000001,1.0000057411825165,-0.9999967621323222,1.5699792020988874,6.143088437937644e-05,0.00014843415269139002,-0.0010188885195550048
0.10500000000000001,1.000005802964449,-0.9999966151767611,1.5699781235086623,6.0094201281835015e-05,0.0001440602318547589,-0.0009438339674261434
0.10600000000000001,1.000005861370919,-0.9999964740118585,1.5699773144309528,5.401365399393394e-05,0.00013959835937216156,-0.00045860989494883554
0.10700000000000001,1.000005910991757,-0.9999963359800423,1.5699772062888726,4.5115672198114924e-05,0.00013959327938017893,-6.422093457025818e-05
0.10800000000000001,1.0000059516022635,-0.9999961948252998,1.5699771859890836,3.8986959660647324e-05,0.00014241790990965328,-0.0003262615062560312
0.10900000000000001,1.0000059889656763,-0.9999960511442225,1.5699765537658603,3.619199073767753e-05,0.00014198767073203642,-0.0004972485496690412
0.11,1.000006023986245,-0.9999959108499583,1.5699761914919843,3.2305948249877955e-05,0.00013727091091597727,-0.0003676129372021131
0.111,1.0000060535775728,-0.9999957766024007,1.569975818539986,2.5893517885400262e-05,0.00013179314878319903,-0.00025187488716937856
0.112,1.0000060757732807,-0.9999956472636607,1.5699756877422097,1.7598189128165115e-05,0.00012797769177730334,-3.7459924717708725e-05
0.113,1.000006088773951,-0.9999955206470171,1.5699757436201365,8.02543254074805e-06,0.0001234622807877449,-5.862706764503395e-06
0.114,1.0000060918241458,-0.9999954003390992,1.569975676016796,-1.3989748248732768e-06,0.00011489368945127854,0.00010949355022660247
0.115,1.0000060859760014,-0.9999952908596382,1.5699759626072372,-9.25857124300932e-06,0.00010341880085640289,0.0003751598876000625
0.116,1.0000060733070033,-0.9999951935014975,1.5699764263365712,-1.5002835418442815e-05,9.070555923029736e-05,0.0006946722803657928
0.117,1.0000060559703305,-0.9999951094485198,1.5699773519517979,-1.8143965996308947e-05,7.813013536139828e-05,0.0008477839275045077
0.11800000000000001,1.0000060370190713,-0.9999950372412267,1.5699781219044262,-2.068921778342057e-05,6.7459900832123e-05,0.0007624936189110081
0.11900000000000001,1.000006014591895,-0.9999949745287181,1.5699788769390355,-2.587020353495004e-05,5.7574859546605185e-05,0.0006532151659577318
0.12000000000000001,1.0000059852786642,-0.9999949220915076,1.5699794283347583,-3.4442340646201297e-05,4.712351142632794e-05,0.0004495609877697145
0.12100000000000001,1.0000059457072137,-0.9999948802816953,1.569979776061011,-4.451713453423874e-05,3.754140409650827e-05,0.00024688348121415494
0.12200000000000001,1.0000058962443952,-0.9999948470086995,1.5699799221017208,-5.377691014718517e-05,3.036790108268403e-05,0.00020488955398967316
0.12300000000000001,1.0000058381533934,-0.9999948195458931,1.569980185840119,0.0028701443719469895,-0.00014706262940755707,-0.00036797447355851854
0.12300000000000001,1.0000087663887671,-0.9999949940713289,1.5699795541272472,0.00291297307697391,-0.00015601195924030961,-5.409137182610375e-05
0.12400000000000001,1.0000087511264704,-0.9999949755578523,1.5699801317487472,-0.0028199112498405983,0.0029526113332067868,0.005834556110251294
0.12400000000000001,1.0000059464775173,-0.9999920414599957,1.5699853886833575,-0.00285802258992444,0.0030050556241168315,0.005957965498737471
0.125,1.0000058931038804,-0.9999919705022282,1.569986089714246,-5.672807312784335e-05,7.137999563644514e-05,0.0008083875600029038
0.126,1.000005833021371,-0.9999918987000044,1.5699870054584772,-6.290832632593885e-05,7.333682244814448e-05,0.0009258186457472553
0.127,1.0000057672872278,-0.9999918238285833,1.5699879413515374,-6.923980022666136e-05,7.495818121761026e-05,0.0010111482136032626
0.128,1.0000056945417706,-0.9999917487836419,1.5699890277549042,-7.536786317263726e-05,7.347488217845914e-05,0.001127587287541586
0.129,1.0000056165515014,-0.999991676878819,1.5699901965261123,-7.937232837651458e-05,7.206362145906191e-05,0.0011398923740468792
0.13,1.0000055357971138,-0.999991604656399,1.5699913075396523,-8.314230603989607e-05,7.307145283297338e-05,0.001156462227092091
0.131,1.0000054502668894,-0.9999915307359133,1.5699925094505665,-8.896791159340714e-05,7.404556184864568e-05,0.0010215511214717301
0.132,1.0000053578612906,-0.9999914565652753,1.5699933506418953,-9.510718657068643e-05,7.355650277762742e-05,0.0007012975384856894
0.133,1.0000052600525162,-0.9999913836229077,1.5699939120456434,-9.851977400554538e-05,7.057061918169787e-05,0.0006531692542388606
0.134,1.0000051608217426,-0.999991315424037,1.569994656980404,-9.856348093251191e-05,6.500580629342773e-05,0.0007752073871714054
0.135,1.0000050629255544,-0.9999912536112951,1.5699954624604178,-9.719269034036407e-05,5.921918055928893e-05,0.000939310409897586
0.136,1.000004966436362,-0.9999911969856758,1.5699965356012238,-9.649188881244433e-05,5.5481473859586525e-05,0.0011494342466722418
0.137,1.0000048699417767,-0.9999911426483474,1.5699977613289111,-9.692503422087376e-05,5.502154032388513e-05,0.0012934783435447617
0.138,1.0000047725862935,-0.9999910869425952,1.5699991225579109,-9.742831952319611e-05,5.80902099200919e-05,0.001277872245797339
0.139,1.0000046750851377,-0.9999910264679276,1.5700003170734027,-9.804265377333357e-05,6.407556168985801e-05,0.0009573569039744703
0.14,1.000004576500986,-0.9999909587914718,1.570001037271719,-9.992313532158893e-05,7.211812991236848e-05,0.0007420462388996179
0.14100000000000001,1.000004475238867,-0.9999908822316678,1.5700018011658805,-0.00010187517784920876,8.09295490622474e-05,0.0006917678643247876
0.14200000000000002,1.0000043727506303,-0.9999907969323737,1.5700024208074475,-0.00010389556903689358,8.845443705274284e-05,0.000498975472495999
0.14300000000000002,1.000004267447729,-0.9999907053227937,1.5700027991168257,-0.00010817623419256951,9.501872222372746e-05,0.00030737863054852683
0.14400000000000002,1.0000041563981619,-0.9999906068949292,1.5700030355647083,-0.00011315882764151288,0.00010272550110546054,0.0002907972009857926
0.14500000000000002,1.0000040411300737,-0.9999904998717914,1.570003380711228,-0.00011421388923515953,0.000110557470067718,0.00031557264845716277
0.14600000000000002,1.0000039279703834,-0.9999903857799891,1.570003666710005,-0.00011080445239119986,0.000116073226252844,0.00020066991091027811
0.14700000000000002,1.000003819521169,-0.9999902677253389,1.5700037820510497,-0.00010609353939816647,0.00011765383517436934,0.000159583418701814
0.14800000000000002,1.0000037157833046,-0.9999901504723188,1.5700039858768424,-0.00010035905328997776,0.00011472037092508092,0.0001651181862349914
0.14900000000000002,1.0000036188030623,-0.9999900382845971,1.5700041122874224,-9.268968570452777e-05,0.00011045647330121246,7.73674799781076e-05
0.15000000000000002,1.0000035304039332,-0.9999899295593722,1.5700041406118022,-8.266921169841617e-05,0.00010857420218446369,5.3713776981822955e-05
0.15100000000000002,1.000003453464639,-0.9999898211361927,1.5700042197149766,-7.007387536894873e-05,0.00010882318512983743,-2.54065866123202e-05
0.152,1.0000033902561825,-0.9999897119130019,1.5700040897986287,-0.0009645619147846933,-0.002750721916022843,-0.0052432509454193605
0.152,1.0000024889027241,-0.9999925718581087,1.5699989764640312,-0.0009647284633373934,-0.0027903969679332593,-0.0051825442102249
0.153,1.0000024255277191,-0.9999925023099698,1.5699989072544185,-5.725614626861381e-05,7.46138174023691e-05,-6.027913546091662e-05
0.154,1.0000023743904316,-0.9999924226304739,1.5699988559057603,-4.656400320879324e-05,8.305426862920122e-05,-0.00013619081951077295
0.155,1.0000023323997127,-0.9999923362014326,1.5699986348727795,-3.972326689805069e-05,8.762319386734766e-05,7.014860692322593e-05
0.156,1.0000022949438978,-0.9999922473840862,1.5699989962029741,-3.7489145565672254e-05,9.038849513309791e-05,0.00010531184124751282
0.157,1.0000022574214216,-0.9999921554244423,1.569998845496462,-3.853884378290925e-05,9.404557443914988e-05,-0.00010234660718921864
0.158,1.0000022178662102,-0.9999920592929373,1.5699987915097597,-4.122436769726786e-05,0.00010045098586264335,-0.0001577187922485733
0.159,1.0000021749726862,-0.9999919545224706,1.5699985300588775,-4.3802241944668156e-05,0.00011186812165497874,-0.0002664396188123417
0.16,1.0000021302617264,-0.999991835556694,1.5699982586305221,-4.597318692400872e-05,0.0001264249000487715,-0.0003574766176406282
0.161,1.0000020830263123,-0.9999917016726705,1.5699978151056422,-4.873495984547556e-05,0.00013953912542108413,-0.00035480442805990687
0.162,1.0000020327918067,-0.9999915564784432,1.5699975490216662,-5.07048074638305e-05,0.00015047518586719364,-0.00033217966177723186
0.163,1.0000019816166974,-0.9999914007222988,1.5699971507463186,-5.147777260017245e-05,0.0001608544723530335,-0.0002986278735406242
0.164,1.0000019298362615,-0.9999912347694985,1.5699969517659191,-5.126584101677873e-05,0.00016974331235042312,-0.00014138208248581905
0.165,1.0000018790850154,-0.999991061235674,1.5699968679821534,-5.0162501596950856e-05,0.00017621888354080168,8.81319319745443e-05
0.166,1.0000018295112583,-0.9999908823317314,1.569997128029783,-5.1760239649922776e-05,0.00018104984839117916,0.0003321680264178892
0.167,1.000001775564536,-0.9999906991359773,1.569997532318206,-5.7919125162619824e-05,0.00018583893157675374,0.0003063917524137591
