t,name,relative_speed_mps
16.554000000000002,Post_2,0.8171
16.554000000000002,Shelf_0,0.8171
16.821,Post_2,0.3679
19.454,baffle_left_2,1.4207
30.888,Post_2,0.5618
30.888,Shelf_0,0.5618
31.150000000000002,Post_2,0.1947
31.150000000000002,Shelf_0,0.1947
33.896,baffle_left_2,1.4717
45.720000000000006,Post_2,1.3333
45.720000000000006,Shelf_0,1.3333
46.126000000000005,Shelf_0,0.6744
46.195,Post_2,0.5244
60.59,Post_2,1.7623
60.59,Shelf_0,1.7623
61.156000000000006,Shelf_0,0.9642
61.207,Post_2,0.7297
64.415,baffle_left_2,1.4763
75.873,Shelf_0,0.6115
75.87400000000001,Post_2,0.6069
90.13000000000001,Post_2,1.2329
90.13000000000001,Shelf_0,1.2329
90.55900000000001,Post_2,0.6205
90.55900000000001,Shelf_0,0.6205
