t,x,y,yaw,vx,vy,yaw_rate,node_index,wall_factor_valid,accel_bias_x,accel_bias_y,accel_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z
0.025,1.0000013796864657,-0.9999999880990741,1.5699949797942137,5.514626308489312e-05,1.894110854827602e-05,-0.00031130626837239106,1,0,0.05,-0.03,3.7684974755267833e-44,4.883263358626103e-42,1.1907990497178172e-36,0.005
0.05,1.0000027583430429,-0.9999995145713604,1.5699871971375043,4.458461258570767e-05,1.0613138402973454e-05,-0.00020818682887417428,2,0,0.05,-0.03,-1.05521574905409e-43,-1.4226945777947057e-41,-4.648231869098733e-37,0.005
0.076,1.0000036535017076,-0.9999994468290155,1.5699843622659408,4.668897429456067e-05,6.559240673485161e-05,-0.00012585764272160407,3,0,0.05,-0.03,-8.256254933309332e-44,4.1666210046821387e-41,-2.4224656460677533e-37,0.005
0.101,1.0000051394807319,-0.9999961693586169,1.5699807783977255,1.468599046816621e-05,0.000102899591807315,9.536763315054486e-05,4,0,0.05,-0.03,-1.389474686709348e-41,-1.8487484618840954e-40,-3.882539264205868e-35,0.005
0.126,1.000004387801231,-0.9999943018494252,1.5699891306475982,-7.730391420768254e-05,6.072092787912096e-05,0.00042766451282538737,5,0,0.05,-0.03,-5.6661909583748266e-42,1.2525248638918683e-40,-1.8930267928307598e-35,0.005
0.15100000000000002,1.0000012742850215,-0.999993133312223,1.5700021616233668,-0.00010782507970485962,0.00011221216032808452,0.00040089872985760156,6,0,0.05,-0.03,3.5476691432237007e-41,3.900277125078728e-40,5.4438852694198774e-36,0.005
0.17600000000000002,0.9999989965472458,-0.9999886912414088,1.570009175584091,-6.892207199848956e-05,0.00018547781314381956,0.0003693956390549148,7,0,0.05,-0.03,2.905631999574041e-40,-3.5536344731398133e-40,4.6850937926168066e-35,0.005
0.201,0.9999978281814216,-0.9999838594215658,1.5700206314053193,-8.857703793996309e-05,0.00021088992141926616,0.00039510845766699287,8,0,0.05,-0.03,8.683297086708954e-40,-8.16412846467279e-40,5.740689072909165e-35,0.005
0.226,0.9999945676953488,-0.9999781467453378,1.5700289310069744,-0.00027877003333953715,0.0002493977176043494,3.3480568557564545e-05,9,0,0.05,-0.03,-3.346678070136608e-40,-4.097748535440288e-40,6.957737575312068e-35,0.005
0.251,0.9999838896797546,-0.9999713895356855,1.5700223054337474,-0.00047410994942209667,0.0003083746168464073,-5.484223574825362e-05,10,0,0.05,-0.03,-1.926031635728467e-39,1.3953862934127727e-40,6.320028746916025e-35,0.005
0.276,0.9999708621978777,-0.9999627280144955,1.570026188895187,-0.0005662129100847396,0.00032419830222840646,0.00010900783957268336,11,0,0.05,-0.03,-4.2811972138338e-39,4.0743626744270086e-39,8.831673710951287e-35,0.005
0.30100000000000005,0.9999555790342504,-0.9999551796205741,1.570027755825726,-0.0006598673808078105,0.00027261182538707024,-6.102624277914971e-05,12,0,0.05,-0.03,-7.788974430624158e-39,3.383721279452009e-39,1.1648714107732883e-34,0.005
0.326,0.9999378688288373,-0.9999490974232261,1.5700231375830478,-0.0006853579678955947,0.0003163159277508321,-0.00015320121415030033,13,0,0.05,-0.03,-9.529348811267723e-39,8.671654941718242e-40,1.4230835809356867e-34,0.005
0.35100000000000003,0.9999213111358556,-0.9999393638241866,1.5700200957650188,-0.0007795167612156819,0.00041701794763371336,0.00014540310946387083,14,0,0.05,-0.03,-4.495208315356278e-40,-5.559453710003578e-39,2.9375481042896066e-34,0.005
0.376,0.9998988929907765,-0.9999282465258444,1.570030407738521,-0.0009270573704012188,0.00039125019129615534,0.00043732803788998364,15,0,0.05,-0.03,-1.4496016916107024e-38,3.095807557766916e-39,8.04153536953287e-35,0.005
0.401,0.9998749582673355,-0.9999198013146218,1.570041962166913,-0.0008259450658854021,0.00027828922377626215,0.00030431862148461137,16,0,0.05,-0.03,-7.064251057532202e-39,-1.8125266572556813e-38,5.9956525331350885e-34,0.005
0.42600000000000005,0.9998575957374822,-0.9999143320646556,1.5700456236695954,-0.0006329499513757498,0.0001361105603248092,0.0001277632362572945,17,0,0.05,-0.03,-2.2868432827424482e-39,4.1442173290023014e-38,2.2306519493203774e-34,0.005
0.451,0.9998433107697667,-0.9999129957866055,1.5700483503287261,-0.0005947609657463994,0.00013809372697570768,8.192541226748064e-05,18,0,0.05,-0.03,9.576642030435731e-40,-1.0887388656864196e-39,6.119155611634083e-34,0.005
0.47600000000000003,0.9998278576891949,-0.9999074273783068,1.5700497199402088,-0.0006339085123130418,0.00011392072269300615,0.00016778907691694658,19,0,0.05,-0.03,1.0456101166799662e-38,4.792732494860776e-38,1.8880394384560539e-34,0.005
0.501,0.9998116153441511,-0.9999072997504709,1.570056739782572,-0.000615945466275747,-6.848676661563859e-05,0.0003646116660327437,20,0,0.05,-0.03,1.4622213170681324e-38,6.4475586201259e-38,2.870630630481562e-34,0.005
0.526,0.9997970604158811,-0.9999108517166376,1.5700679505235104,-0.0005783068149933785,-0.00013672563333733112,0.00040452906467258704,21,0,0.05,-0.03,-2.871312218959956e-38,-5.534363164744682e-38,9.018795840100045e-34,0.005
0.551,0.9997827000034014,-0.9999141360321377,1.5700769662358056,-0.0006210775883741521,-0.00010755533336181945,-6.867281706846022e-05,22,0,0.05,-0.03,5.438388887144054e-38,3.871211573628892e-38,1.0197672168005213e-33,0.005
0.5760000000000001,0.9997660065364624,-0.9999162294833057,1.570064516882657,-0.0006246109845542408,-5.965592977386075e-05,-0.00032082810253797307,23,0,0.05,-0.03,-1.184329655852816e-37,-1.5665581695826383e-37,-3.486670946934783e-35,0.005
0.6010000000000001,0.9997514694541737,-0.9999171188286264,1.5700609248306785,-0.0005210073260575327,-3.015116356586138e-05,0.00021384885286579477,24,0,0.05,-0.03,-3.822645246050008e-37,-1.663923448805973e-37,-1.265082884678035e-34,0.005
0.626,0.9997399561701595,-0.999917737041484,1.5700752093253,-0.0004839456156457984,-9.849396520600364e-07,0.0002583072353168351,25,0,0.05,-0.03,-2.0295902120731954e-37,-1.3943408306366161e-37,-4.9957869833498685e-34,0.005
0.651,0.9997272721733914,-0.999917168075609,1.5700738401924446,-0.00043502848209753215,5.0180753403683506e-05,4.808851620907713e-05,26,0,0.05,-0.03,-6.445008111901819e-38,-3.756865490312729e-37,-4.726238104294937e-34,0.005
0.676,0.9997182047460547,-0.9999152280038138,1.5700776137511108,-0.0003821090922895284,6.297188960724393e-05,0.0002679594931365157,27,0,0.05,-0.03,6.307445723741079e-38,-2.7031849585172584e-37,3.197563929775736e-33,0.005
0.7010000000000001,0.9997081667187769,-0.9999140194811287,1.5700872381671014,-0.0004052944923027542,3.250439559066007e-05,0.0001814035865166373,28,0,0.05,-0.03,-3.3375283477495054e-37,-4.1616863100311395e-37,2.3323920677265746e-33,0.005
0.7260000000000001,0.9996979400214395,-0.9999136027840343,1.5700866839304364,-0.0003383786712518604,-1.974207936905617e-05,0.0001292545651843115,29,0,0.05,-0.03,-2.874044852492318e-37,3.7064939602761917e-38,2.5380411115911075e-33,0.005
0.751,0.9996912477852143,-0.9999150065850971,1.5700937008953606,-0.00021720036665451333,-2.3206749997228857e-05,0.00013631464439001225,30,0,0.05,-0.03,-6.927607388437155e-37,1.5309454955167769e-37,-2.0743194083800086e-33,0.005
0.776,0.9996870800031068,-0.9999147631215342,1.5700934996626559,-0.0001718467983868875,8.3082720059302e-06,-8.267351915947068e-05,31,0,0.05,-0.03,-8.494786911141717e-37,8.834243406621961e-37,-3.784545529214497e-33,0.005
0.801,0.999682655445295,-0.9999145911714968,1.5700895672194026,-0.00013796096003160216,7.704347586567899e-06,0.00017087736938314874,32,0,0.05,-0.03,-8.110139569683408e-37,5.348300331413551e-38,-7.488088053709265e-34,0.005
0.8260000000000001,0.9996801819551052,-0.9999143779041548,1.570102043531125,-0.00012775322282276836,3.952360549952513e-05,0.0002875197762008949,33,0,0.05,-0.03,-1.9502690842784814e-36,6.819071261507351e-37,-2.2002457468810914e-33,0.005
0.8510000000000001,0.9996762677841539,-0.9999126149912219,1.5701039432082124,-0.0001410426750081408,8.292666265230519e-05,0.0005606832675653103,34,0,0.05,-0.03,-1.0290708156829233e-36,1.0130122750950389e-36,-3.745590937198364e-35,0.005
0.876,0.9996731298213548,-0.9999102315710222,1.5701300776945035,-6.0007974367337706e-05,0.00011976614735287344,0.0003394781878807156,35,0,0.05,-0.03,-1.8340260309686804e-36,8.933580587015866e-37,-8.358957227733663e-33,0.005
0.901,0.9996732673854355,-0.9999066266838542,1.5701209171176065,2.184313986575146e-05,9.215356793657029e-05,-0.00014997328223742543,36,0,0.05,-0.03,-9.790918939255185e-37,5.95145061478675e-37,1.2646382593016606e-33,0.005
0.926,0.9996742219783481,-0.9999056238926254,1.5701225790303919,7.204006475802764e-05,-2.161041341208756e-05,0.00025576797696658083,37,0,0.05,-0.03,-1.0519406884371934e-36,5.610612738832558e-37,-4.665812623730611e-33,0.005
0.9510000000000001,0.9996768693886734,-0.9999077072045248,1.5701337055164548,7.557423877591056e-05,-0.00014202780459271467,0.00029703798540836574,38,0,0.05,-0.03,-1.3374998369501427e-36,4.4251395961063776e-36,-8.44485237750025e-33,0.005
0.9760000000000001,0.9996780006902869,-0.999912725282855,1.5701374309296625,2.7808952707264565e-05,-0.00022118143342853081,0.00015601853912805606,39,0,0.05,-0.03,-1.9388910073037924e-36,-5.813118208389769e-36,-1.814100608245207e-32,0.005
1.001,0.9996782598363088,-0.9999187662761962,1.5701415064434112,-7.751797974187024e-05,-0.00024739168967169466,0.00024214602300176612,40,0,0.05,-0.03,-3.085356914972158e-36,2.2162083852265746e-36,-1.0925340044473255e-32,0.005
1.026,0.9996741247912998,-0.9999250948673386,1.5701495382308128,-0.00016164018152409185,-0.0002895247963641265,5.4704172800512604e-05,41,0,0.05,-0.03,-2.0749222743239344e-36,2.910435634780215e-35,-2.127370707091684e-32,0.005
1.051,0.9996701778272326,-0.9999332425160145,1.570144241652051,-8.937910755513193e-05,-0.00035115656154882625,0.00023973982093750102,42,0,0.05,-0.03,-2.6988566011620688e-36,5.588766489203307e-36,-2.4007844363221334e-32,0.005
1.076,0.999669655835922,-0.999942652695416,1.5701615252218597,-9.022671028091614e-06,-0.0003643604913095008,0.0003021287284710181,43,0,0.05,-0.03,-1.605396233903041e-36,1.4074821879433675e-35,-2.657370479001807e-32,0.005
1.101,0.9996697266936811,-0.9999514605405799,1.5701593480884746,-6.819856528395032e-06,-0.00032587017140706223,0.00026766673253853055,44,0,0.05,-0.03,-1.1294101564042446e-36,-9.19155494450768e-35,-1.4273258781978575e-32,0.005
1.126,0.9996693148430956,-0.9999589462039864,1.5701749085584866,3.7310477039031975e-05,-0.00027414322736341013,0.00018315902187815409,45,0,0.05,-0.03,-8.232871038393621e-37,-5.910657803073868e-35,-7.055234708898408e-33,0.005
