t,x,y,yaw,vx,vy,yaw_rate,correspondence_count,covariance_valid
2.451,-2.418845851788442,1.3540177591995355,0.0003067784721604645,0.0004083690486751309,0.0006824503539713967,-0.002478385832011194,541,1
3.126,-2.4185702026805864,1.3544784131884662,-0.001366131964447083,0.0009401812164641251,0.00020875745452001286,-0.0005925777490681638,541,1
3.151,-2.4181877249369172,1.3541638894176995,-0.0001080259521870461,-0.022385524543260142,-0.010988752812233157,0.0191314149580445,541,1
3.176,-2.4196894789077494,1.3539289755478545,-0.0004095612165447919,-0.013920227901138485,-0.0029587066242342374,-0.001027618423670157,541,1
3.201,-2.418883736331974,1.3540159540864878,-0.00015940687337055146,-0.0012733541096121616,0.009573376149352199,-0.013513953586210596,541,1
3.226,-2.41975314661323,1.3544076443553221,-0.0010852588958552441,-0.0016146446785381186,0.0006932535838632983,0.011564655313378622,541,1
3.251,-2.418964468565901,1.354050616765681,0.00041882589229836205,0.02240554564673766,-0.004686537450124833,0.016294204444449237,541,1
3.276,-2.418632869330893,1.3541733174828159,-0.00027054867363274666,0.001308396151742379,-0.0004925536926858572,-0.014293320418658974,541,1
3.301,-2.418899048758314,1.3540259890810467,-0.0002958401286343957,-0.027540283204778714,-0.008604857489959938,0.005991158544258436,541,1
3.326,-2.420009883491132,1.3537430746083179,2.9009253580329355e-05,-0.013606465323308163,-0.003307661052947009,0.004496969143303902,541,1
3.351,-2.4195793720244794,1.3538606060283993,-7.099167146898289e-05,0.025414895181494847,0.007609187467463334,-0.002329733367520967,541,1
3.376,-2.4187391387320574,1.354123533981691,-8.747741479566948e-05,0.0025431552799659676,0.030701522738105887,-0.01180117210592084,541,1
3.401,-2.419452214260481,1.3553956821653046,-0.0006610502767649665,-0.020946415285791775,-0.012581050851965191,0.002955155157682283,541,1
3.426,-2.419786459496347,1.3534944814390928,6.0280343088433456e-05,0.012345318562960662,-0.013252864406290072,0.0011256226308908818,541,1
3.451,-2.418834948332333,1.35473303894499,-0.0006047691452202437,0.003790618174654994,0.024643953183893872,-0.009094925464792103,541,1
3.476,-2.419596928587614,1.3547266790982875,-0.0003944659301509728,-0.012384516335375339,-0.02989773371333559,0.0255515202057933,541,1
3.501,-2.419454174149102,1.3532381522593233,0.0006728068650696217,0.020904066761557944,-0.021032563058174324,0.012789370646473276,541,1
3.526,-2.4185517252495363,1.3536750509453788,0.0002450026021725724,0.020775302793927142,0.017902084267631308,-0.01548427333908356,541,1
3.551,-2.4184154090094054,1.3541332564727049,-0.00010140680188440534,-0.005419403076940526,0.020179114526337364,-0.02404277775709383,541,1
3.576,-2.4188226954033833,1.3546840066716956,-0.0009571362856822463,-0.0066427550256165325,0.000262182771773035,-0.0009631394122866545,541,1
3.601,-2.4187475467606863,1.3541463656112935,-0.00014956377249868385,-0.018153086927244,-0.01450591386915617,0.023943257642251668,541,1
3.626,-2.4197303497497455,1.3539587109782378,0.00024002659643011586,0.00869270022290539,0.019818780520819493,-0.021947793198124975,541,1
3.651,-2.418312911749541,1.3551373046373345,-0.0012469534324049236,0.011972636907611125,-0.00661000383526563,-0.008326162245664247,541,1
3.676,-2.419131717904365,1.3536282107864746,-0.0001762815158531578,0.01643435714664845,-0.018494546965515016,0.02791084351365199,541,1
3.701,-2.4174911938922086,1.3542125772890587,0.00014858874327759966,0.0022454730924970157,-0.00464270473495178,0.011115035660447288,541,1
3.726,-2.41901944424974,1.353396075549727,0.00037947026716940636,-0.011544575667832332,-0.0007445538571992953,-0.006632665215073909,541,1
3.751,-2.4180684226756,1.3541753495961988,-0.00018304451747608197,0.0026257980772825913,0.003976412820305711,-0.007457790172216177,541,1
3.776,-2.418888154345876,1.3535948961907422,6.580758558765904e-06,-0.010655112417978728,0.004639738405032265,0.0007775665397247126,541,1
3.801,-2.418601178296499,1.3544073365164504,-0.0001441661904896992,0.011794939708158418,0.020505041728466792,-0.01234885682531044,541,1
3.826,-2.418298407360468,1.3546201482771656,-0.0006108620827067216,-0.003920169999105397,-0.010461606418203965,0.002468825697752317,541,1
3.851,-2.4187971867964544,1.3538842561955402,-2.0724905602244257e-05,-0.0360843686704372,-0.013743363546487912,0.01786166742668633,541,1
3.876,-2.42010262579399,1.3539329800998412,0.000282221288627589,0.008092859506572155,0.006788406152149509,-0.0038772249018315247,541,1
3.901,-2.418392543821126,1.3542236765031477,-0.00021458615069393987,0.00046545305845135693,-0.008282464401183588,-0.003441030035737906,541,1
3.926,-2.4200793531410674,1.353518856879782,0.00011016978684061794,-0.01488166385025905,-0.010621833961836856,0.005632129129065047,541,1
3.951,-2.4191366270136387,1.3536925848050558,6.702030575940647e-05,0.015293427833063032,0.009701451317805122,-0.0022948226170083157,541,1
3.976,-2.419314681749414,1.3540039294456723,-4.5713440099251375e-06,0.009025952385899268,0.013719983820625819,-0.0074611289493641975,541,1
4.001,-2.4186853293943438,1.3543785839960871,-0.0003060361417086645,0.0076678885758063855,0.004427578843002615,0.0012825155675155787,541,1
4.026,-2.418931287320624,1.3542253083878224,5.955443436581327e-05,-0.003431289224398183,-0.011367120461449649,0.00043820043350351214,541,1
4.051,-2.4188568938555637,1.3538102279730146,-0.0002841261200336022,-0.010754017103495921,-0.010565537160158772,0.004495600407956617,541,1
4.076,-2.4194689881757987,1.3536970315298145,0.0002843344547635043,-0.005885832071044227,0.001879213559008448,-0.0046300976036750706,541,1
4.101,-2.419151185459116,1.353904188650965,-0.0005156310002175683,0.005895877924206787,-0.0004075278005410907,0.002304712475584803,541,1
4.126,-2.4191741942795884,1.3536766551397874,0.00039957007854295596,-0.0028930226030077326,0.0017973710414231966,0.012889906608029068,541,1
4.151,-2.4192958365892663,1.3539940572030362,0.00012886433018403665,0.009131201248990839,-0.013058158054808413,0.002626508100709311,541,1
4.176,-2.418717634217139,1.353023747237047,0.0005308954835784088,0.01778339070852126,-0.008373164553061615,0.008114505789214051,541,1
4.201,-2.41840666705384,1.3535753989753831,0.0005345896196448447,-0.012183392527225266,0.030013447552543867,-0.023459965737924277,541,1
4.226,-2.4193268038435,1.3545244196146742,-0.0006421028033178704,-0.00821905572995429,-0.0011741520094332547,-0.0036544859119035968,541,1
4.251,-2.418817619840338,1.3535166913749115,0.0003518653240495551,-0.005982808342901457,-0.014808721823578227,0.008381472622929239,541,1
4.276,-2.419625944260645,1.3537839835234953,-0.00022302917217145127,-0.01850803641946015,-0.005002678655019483,-0.0036949913509776297,541,1
4.301,-2.419743021661311,1.3532665574421605,0.00016711575650058515,-0.00558690871653946,-0.017714463789859698,0.019982454341027703,541,1
4.326,-2.419905289696472,1.3528982603340023,0.0007760935448797818,0.01601800975414852,0.011795747544596266,-0.0037392243169076657,541,1
4.351,-2.4189421211736035,1.3538563448193903,-1.9845459344844883e-05,0.02693619430671885,0.024791653373021562,-0.015477388380240377,541,1
4.376,-2.418558479981136,1.3541378430026534,2.224125867769262e-06,0.0029285628528885714,0.0012934579736523278,0.009392372893914957,541,1
4.401,-2.418795693030959,1.353921017718073,0.00044977318535106196,-0.002339120651440049,-0.005044797779296691,0.006246385116108777,541,1
4.426,-2.418675436013708,1.3538856031136886,0.0003145433816731856,0.014884850653027522,0.0036102739776256018,-0.0040409306074895715,541,1
4.451,-2.4180514504983077,1.3541015314169542,0.00024772665497679484,0.0035560351297814334,0.005517307781053324,-0.010088049566920923,541,1
4.476,-2.418497634257219,1.3541614685027412,-0.00018985909667284831,-0.004872161574027631,0.012181075325145944,-0.016741643982926862,541,1
4.501,-2.418295058577009,1.3547105851832115,-0.0005893555441694647,-0.005680995136092568,-0.003814201447633905,-0.0021205621918607494,541,1
4.526,-2.4187816840140237,1.3539707584303595,-0.0002958872062658821,0.005896140149399563,0.01988666259405754,-0.01208072124962105,541,1
4.551,-2.418000251569539,1.3557049183129144,-0.0011933916066507138,0.0001565976356676635,0.012913690777702585,0.002147804200438555,541,1
4.5760000000000005,-2.4187738541322403,1.3546164429692447,-0.000188496996244142,-0.020039897184904804,-0.026164878001235885,0.030140315812019588,541,1
4.601,-2.4190022464287844,1.3543966744128526,0.00031362418395032506,-0.013826110853338895,-0.02201544556477594,0.011527267989208709,541,1
4.626,-2.4194651596749073,1.3535156706910059,0.0003878664032164514,-0.007682819300516313,-0.005890095771401448,-0.007481183825142095,541,1
4.651,-2.41938638739381,1.3541021696242825,-6.0435007306964475e-05,0.012571913773946664,0.01608047001874452,-0.018906063269481587,541,1
4.676,-2.41883656398621,1.354319694191943,-0.0005574367602577106,-0.012875197174597548,0.005546462469720935,0.003297173748224533,541,1
4.7010000000000005,-2.42003014725254,1.3543794927477686,0.00010442368010438061,0.0022856095045487106,0.0018534823818727795,0.015888856581582955,541,1
4.726,-2.4187222835109825,1.3544123683110367,0.00023700606882130098,0.020270814215983608,0.017850933691634437,-0.03226929150399028,541,1
4.751,-2.419016606541741,1.3552720394323503,-0.0015090408950952817,0.022362610861233003,0.008115358617306641,-0.027127983905233063,541,1
4.776,-2.417604152967921,1.354818136241902,-0.0011193931264404764,0.01172108460705705,-0.02615320414316012,0.030983543766280985,541,1
4.801,-2.418430552311388,1.3539643792251923,4.01362932187229e-05,-0.01862175504356829,-0.02413747310171709,0.022387194798900403,541,1
4.8260000000000005,-2.4185352407200993,1.3536112625868162,-3.338649526314243e-08,-0.006940517933191639,0.009417939389657659,0.002105707573356604,541,1
4.851,-2.4187775782080476,1.3544352761946752,0.00014542167188672878,0.005635457457371393,0.02778463295032739,-0.011366048344330122,541,1
4.876,-2.4182534678472307,1.3550004942343326,-0.0005683358037117766,0.00016728348804839814,-0.01327872944576929,-0.0008835131849505049,541,1
4.901,-2.418769214033645,1.3537713397223867,0.00010124601263934347,-0.002452523469234089,-0.02969663743789052,0.02559241997476045,541,1
4.926,-2.4183760940206924,1.353515662362438,0.0007112851950263155,0.017331053134146155,-0.003583924182604064,0.0041244144895457545,541,1
4.9510000000000005,-2.417902661376938,1.3535921435132565,0.00030746673711675983,-0.009721163900007247,0.006964145949153203,-0.015857338401259524,541,1
4.976,-2.418862152215693,1.3538638696598957,-8.158172503676361e-05,-0.02398502864194194,0.006246544383565778,0.00509931086053685,541,1
5.001,-2.419101912809035,1.3539044707324348,0.0005624322801434379,0.0055775832546434345,-0.0053189044605384175,0.0013479679871064624,541,1
5.026,-2.4185832730529606,1.3535979244368688,-1.4183325681486082e-05,0.01664302047290184,0.004215321215466098,-0.007367999785854477,541,1
5.051,-2.41826976178539,1.354115236793208,0.0001940322908506883,0.012427895954312306,0.02371175541435741,-0.00027717163560758804,541,1
5.076,-2.417961878255245,1.3547835122075866,-2.8041907461678373e-05,-0.025175592807427184,0.006137690811738338,-0.011960507319157584,541,1
