t,x,y,yaw,vx,vy,yaw_rate,correspondence_count,covariance_valid
2.126,0.4018184792808287,-0.31612685890857595,-0.0016202444783979225,-0.05392400160199948,0.028053563839980467,-0.007966259278937599,486,1
2.151,0.4004703792407787,-0.31542551981257644,-0.001819400960371234,-0.02148237659634666,-0.009721582386789055,-0.00023492379572331732,486,1
2.176,0.40074436045101136,-0.3166129380279154,-0.0016319906681839243,0.0016535415215546045,-0.015308155928118657,0.009202256005931227,486,1
2.201,0.40055305631685645,-0.3161909276089824,-0.0013592881600744775,0.0007319439010078392,0.01905771487674353,-0.01121506606081017,486,1
2.226,0.40078095764606175,-0.31566005228407823,-0.0021927439712244967,0.006648305902359232,-0.011438337077022171,0.0003833682853038325,486,1
2.251,0.4008854716119744,-0.3167628444628335,-0.0013401197458094245,0.008311188292858847,-0.00461543620220996,-0.0015901370403970162,486,1
2.276,0.4011965170607047,-0.3158908240941887,-0.00227225082324447,-0.006709621120427576,0.006219703243179853,-0.01853746626093046,486,1
2.301,0.40054999055595303,-0.3164518593006745,-0.002266993058855803,0.007147895378170028,-0.01728149654928725,0.006295146210479851,486,1
2.326,0.4015539118296132,-0.3167548989216531,-0.001957493512720609,0.028043853189191437,0.007208121494324286,0.007882948541011486,486,1
2.351,0.4019521832154126,-0.3160914532259583,-0.0018728456318050286,-0.017192921212289054,0.025134537363059685,-0.007305282588427912,486,1
2.376,0.40069426576899875,-0.3154981720535001,-0.0023227576421419364,-0.012780627732877959,-0.011033186041680172,0.001856301274099088,486,1
2.401,0.4013131518287687,-0.3166431125280423,-0.0017800305680999986,-0.01047689607771568,-0.024072389255006415,-0.0034928387268262453,486,1
2.426,0.40017042096511296,-0.31670179151625044,-0.0024973995784832548,-0.0040839375905698866,0.011923843743982745,-0.002960565575067504,486,1
2.451,0.4011089549492402,-0.31604692034084314,-0.0019280588468532608,0.011883657651086163,0.02416478809171072,0.005894829618968721,486,1
2.476,0.40076460384766727,-0.3154935521116649,-0.0022026580975349503,0.012373751869939652,-0.016563593426673965,0.014397367550351753,486,1
2.501,0.4017276425427372,-0.31687510001217684,-0.0012081904693355574,0.012315789692800604,-0.032601683301750735,0.022642088984357125,486,1
2.526,0.4013803933323073,-0.31712363627675244,-0.001070553648316984,-0.017280913279848948,0.006448103426920336,-0.011838723373722652,486,1
2.551,0.40086359687874473,-0.3165526948408308,-0.0018001266380218025,0.018841406381420078,0.028410986215826453,-0.026953960155857572,485,1
2.576,0.4023224636513783,-0.3157030869659611,-0.0024182516561099456,0.009932279370955567,0.002071138494316179,-0.0050329041504238075,486,1
2.601,0.4013602108472925,-0.316449137916115,-0.00205177184554306,-0.03458639095497275,-0.015716407095478557,0.012689388599351804,486,1
2.626,0.4005931441036297,-0.31648890732073504,-0.0017837822261424529,-0.00452162782815903,0.012599063591057825,-0.0018884199548630032,486,1
2.651,0.40113412945588456,-0.3158191847365621,-0.002146192843286069,0.027707706074132494,0.0075099903577157835,0.0008608786834063363,486,1
2.676,0.4019785294073363,-0.31611340780284924,-0.0017407382919720268,0.0011080229179305453,-0.006446475385529747,-0.011613165059847157,485,1
2.701,0.4011895306017811,-0.3161415085058386,-0.002726851096278644,-0.02949129716810394,-0.0035501013553862607,-0.005827265915225886,486,1
2.726,0.4005039645489311,-0.31629091287061856,-0.002032101587733222,-0.010996539584474703,0.009212570636029127,0.02342870312878284,486,1
2.751,0.40063970362255735,-0.31568087997403715,-0.0015554159398393074,-1.296217541820469,0.7678447084246638,0.0009808574722004,486,1
4.901,-2.418769188910589,1.353771327953025,0.00010126341430265094,7.878371474899168e-05,-0.00013986439242561218,-6.874589665850255e-05,541,1
8.551,0.4010966491681015,-0.3164920934501057,-0.001954142140458735,0.5979779613669578,-0.3933073302770967,0.26963515191689885,486,1
10.801,1.1093007831544617,-0.9667419206818455,1.5909486597240066,0.15449999588778876,-0.17069002329787897,0.4362113022202456,105,1
12.501,1.011371632924867,-0.9907176854767274,1.7210805016295114,-0.09242723472921952,-0.002947304642863082,0.09310565113840849,69,1
12.526,0.9498638032465581,-0.9718260211907843,1.7515559079377612,-1.1998481204946583,1.1586015050672263,1.5850048920325353,70,1
12.551,0.9513792269001332,-0.9327876102233653,1.8003307462311395,-0.6739810887020108,1.1783555831200998,2.073803917699821,78,1
12.576,0.916164748811457,-0.9129082420347785,1.8552461038227537,-2.480458528523149,-0.4104671360335685,0.02645452669518951,82,1
12.601,0.827356300473974,-0.953310967025044,1.801653472565899,-3.414598069415253,-0.24459798089952878,-0.08179112887783899,84,1
12.626,0.745434845340698,-0.9251381410797547,1.8511565473788618,-1.2209276783474874,1.1100983493112306,2.1632415989016858,93,1
12.826,0.5526475728457898,-0.7035388384300175,2.288382832318778,-1.1133783932012469,1.019234716049897,2.0882585447844355,122,1
