t,x,y,yaw,vx,vy,yaw_rate,node_index,wall_factor_valid,accel_bias_x,accel_bias_y,accel_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z
0.025,-2.4189708534644776,1.3540315410453714,-0.00025523859193912437,0.033338547021717346,0.00019103852420876422,-0.00949131871685438,1,1,0.04999987835832781,-0.030000138451277605,-1.0248705256744325e-05,7.153292716085059e-06,6.965518607485109e-07,0.00500473152025551
0.05,-2.4181373897889347,1.3540363170084766,-0.0004925215598604351,0.010646246305231978,0.00394141429008449,-0.009312214328224985,2,1,0.04999422954188281,-0.029999981118669198,-1.744627113216095e-05,4.167341733737702e-05,3.3879589113794383e-06,0.004985833951497554
0.076,-2.4184278949029108,1.3542325531741657,-0.0007301615226786271,-0.004275835705616027,0.0031146942794216745,-0.009106907166269674,3,1,0.050008275912219104,-0.030003883368527957,4.6735544785078654e-05,5.7481254769810745e-05,-3.054940501117168e-05,0.0049009627619562126
0.101,-2.418355457409921,1.354195166416727,-0.0009569738253400367,-0.00791980333719522,-0.003135037259287543,-0.008685129143399806,4,1,0.05001163278253571,-0.02999932356453349,0.0001727407784590681,7.455789850228643e-05,-4.3828711705405934e-05,0.004822405988416851
0.126,-2.4188238850697705,1.3540758013112013,-0.0011644179798487196,-0.010014068230956848,-0.006031192926747584,-0.007987565318110509,5,1,0.05004496948557998,-0.0299888004921458,0.0003535091862909257,8.585712644099033e-05,-6.965607846373125e-05,0.0046141351510013175
0.15100000000000002,-2.418856160821469,1.3538936067703897,-0.0013563520912454783,-0.0025261841418000577,-0.0007704616391279726,-0.006879603051537228,6,1,0.05004805159805819,-0.02997054115389558,0.0005950356161958323,0.00011438995477437023,-9.551807103394929e-05,0.004352153497825917
0.17600000000000002,-2.4189501942768605,1.354037278229245,-0.0015083981324256846,-0.004690481329765462,0.004405318931635095,-0.004423578283150321,7,1,0.05005953535718636,-0.02999382190853092,0.0008861755378757476,0.00013002555533648492,-9.160939170210562e-05,0.003996334310242966
0.201,-2.419090684887957,1.3541138727169715,-0.0015775310054030188,-0.009621087824251974,0.0009040370054336224,-0.0022289868985136967,8,1,0.05008164072438389,-0.0300087704715117,0.0012215285653369048,0.00012182927448876709,-0.00010031894767915681,0.0033691383342566105
0.226,-2.419431248668073,1.3540824800795166,-0.00161984747735136,-0.007402299157783789,0.008150114432661228,-0.0032055473944669908,9,1,0.05015936306479129,-0.029995193865831868,0.0015889390645151776,0.0001094159077509309,-9.014719362296665e-05,0.002754544675926922
0.251,-2.4194607998458464,1.3545213784386045,-0.0017378083751261601,0.0004417772438536359,0.0030779087173371513,0.0004982405312237146,10,1,0.05014283103104816,-0.03016790253238471,0.0019342562009490216,0.00010270347617900154,-7.664646066180213e-05,0.0025267230626234466
0.276,-2.4194091598058804,1.3542363755153835,-0.0015949354507899804,0.0045700258821401675,-0.0038045523180318917,0.003258251738804671,11,1,0.05008455695002364,-0.029968640305094135,0.002270242954109776,9.743741818184201e-05,-6.837068174545784e-05,0.0014933647166645058
0.30100000000000005,-2.4192322985517394,1.354331150822703,-0.001574895788185713,0.003428876005653337,-0.0005645732164127893,0.0019677078612012626,12,1,0.049941972310237406,-0.03001486475122497,0.0025868324090025934,9.142301660337125e-05,-5.8404066891296645e-05,0.0009589620601232689
0.326,-2.419237716005598,1.3542081468545628,-0.0014965500577298887,-0.002067542009589474,-0.0029145987737466687,0.003611641589147397,13,1,0.049928688571514585,-0.02987687625446867,0.002868440271660789,9.025602011385885e-05,-3.98041266275833e-05,0.0003483097299045015
0.35100000000000003,-2.419335675652219,1.3541854208840156,-0.0013943137087282433,0.0005773351812443651,0.0004652902864377141,0.003500245279139947,14,1,0.05000064246213275,-0.029839513135858416,0.003102217479637477,9.808522399863958e-05,-1.5026523122140378e-05,-0.00025612422393477235
0.376,-2.4192088492465356,1.3542314113688847,-0.0013215377937729126,0.0053279356329127845,0.0015248122290856263,0.001987093573854182,15,1,0.04984713249657549,-0.029873457194259264,0.003283830994437429,0.00010322706576496425,-1.2554411851279655e-05,-0.0007527513817386757
0.401,-2.419069278870573,1.35426166149547,-0.0012949590300355017,0.002516702557660009,-0.0008034632198805617,0.001970345366908431,16,1,0.0496861338770104,-0.029884962836709276,0.0034148383800399707,9.255059021505341e-05,-1.4068303669897789e-05,-0.0010907013115765876
0.42600000000000005,-2.4190830141186526,1.3541912382078907,-0.0012230205254275166,-0.001720222588383891,-0.0024409375573819507,0.004050399484594181,17,1,0.04971558792164002,-0.02977643940664722,0.0034972349419555957,7.613941648764008e-05,-1.401253548877363e-05,-0.0014775739027103377
0.451,-2.4191552899999924,1.3541396146176008,-0.0010924390558058091,-0.000990800940625647,-0.0016697738739113181,0.0023699631217066757,18,1,0.049809453404615234,-0.029709786260150688,0.0035414700621637448,6.049845643663476e-05,-1.0608950458192108e-05,-0.0019494819091335376
0.47600000000000003,-2.419132554165684,1.354107749514195,-0.0011045223693422,0.006147930924260693,0.002617333109955489,-0.001703960421144402,19,1,0.04977593992612681,-0.02967778662140749,0.0035559455518733756,4.666496087454143e-05,-3.0349735879508916e-07,-0.0020832025331606416
0.501,-2.4188478934537794,1.3542704812730986,-0.0011776370768630717,0.004921900001262359,0.0005933250543277425,-0.00022476374212487832,20,1,0.04939712915596443,-0.02991936705828335,0.003547462202117857,3.270986522240008e-05,7.746821257290015e-07,-0.002096541181857268
0.526,-2.4188864591656207,1.3541374157669115,-0.001115760556448571,-0.0032448667517837007,0.0012099562286005383,0.0009679802472106749,21,1,0.049494626163506104,-0.029714255719061576,0.0035220621895347194,1.961623533843131e-05,2.395290395477113e-06,-0.002370113919985221
0.551,-2.4190101367913686,1.3543309790845286,-0.0011292380645023224,-0.002049489951039261,0.0025522510780673336,0.0024412355972103206,22,1,0.049693559221831184,-0.029997895822651766,0.0034840824008317817,9.812714927426769e-06,1.4999386973125216e-06,-0.00248079228840292
0.5760000000000001,-2.4189889336631727,1.3542650283208149,-0.0009936987765879295,0.005367678871133204,0.0010700886519732214,0.001382283325588317,23,1,0.04967019106600076,-0.02987211158416666,0.0034375587892886217,-8.771014327168522e-06,3.3736924195385966e-06,-0.0028044714912155884
0.6010000000000001,-2.418741752847812,1.3543844835171273,-0.001060123898222969,0.006599126788326979,-0.0017936522257766564,0.0006421725819549815,24,1,0.04935075111516566,-0.030027214951068377,0.0033867909825620506,-1.9917593816896706e-05,3.7164946596243972e-06,-0.0027790882299103246
0.626,-2.4186589773237563,1.354175345709526,-0.0009615901474899659,0.0011086802072313177,-0.006861267685285287,0.0031936170788693418,25,1,0.0492985526408531,-0.029708085837821505,0.0033330274363275398,-3.1652491556046804e-05,1.141613251115173e-05,-0.0030518103040583916
0.651,-2.4186863188374503,1.354041420132863,-0.0009004430442796116,-0.0039273070028222855,-0.007233657188940861,0.003389249089940091,26,1,0.04940173263728461,-0.029541372616259776,0.003280449029840967,-3.356829184100632e-05,2.0781393700447758e-05,-0.0032217181285621598
0.676,-2.4188553426738975,1.353813662850079,-0.0007921276929929528,-0.004837986302215209,-0.005451553666095949,0.0038518418975552714,27,1,0.049675658542303464,-0.029280190480598337,0.003229331935550513,-3.897072881966238e-05,3.4694651408415703e-05,-0.0034590184589537443
0.7010000000000001,-2.418928218152561,1.3537688424495582,-0.0007078509494018936,-0.0016210052923248937,0.004947625528655126,0.0007967946599851664,28,1,0.049782641998685116,-0.02930489034592064,0.0031810203024486205,-3.449840697067115e-05,4.155379106867171e-05,-0.0036534977608476634
