t,x,y,yaw,vx,vy,yaw_rate,node_index,wall_factor_valid,accel_bias_x,accel_bias_y,accel_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z
0.025,-2.4189722729688214,1.3540301836091908,-1.544043275658323e-05,0.030783334071138313,0.0003889607634022241,-0.0006833289851115865,1,1,0.049999904114796885,-0.030000109201326824,-2.8756247134991534e-06,-1.015307729218974e-06,-2.486378550814189e-06,0.005014819139599937
0.05,-2.418202689617043,1.3540399076282759,-3.252365738433885e-05,0.011767790577299922,0.003823242981324352,-0.0003672174149422867,2,1,0.0499947925624984,-0.029999924852302115,8.301286079907309e-06,-2.162921915088858e-05,-7.654265531204714e-06,0.005043864940008777
0.076,-2.418372115649379,1.3542251690012383,-3.4168520918611735e-05,-0.0020158485815852654,0.002929013272481252,-0.000204253153571471,3,1,0.05000530684939428,-0.030002739201638994,6.617681486271903e-05,-3.277437469776176e-05,1.88121293815361e-05,0.005033917025993123
0.101,-2.418305497894704,1.3541892873051724,-4.294056821635995e-05,-0.009694805262947526,-0.0034395504806550292,0.00015986274407353562,4,1,0.05000904539921311,-0.029999340287429472,0.00017165637238266259,-4.931364133714396e-05,3.594714787937604e-05,0.005053892814794997
0.126,-2.4188568559125265,1.3540531914772056,-2.6175383715145662e-05,-0.011536326411745176,-0.006747157070980944,0.0006399932159695252,5,1,0.050036577467589195,-0.02999122513271808,0.0003176413466140671,-6.43804770483772e-05,6.868341428956878e-05,0.005009227454686789
0.15100000000000002,-2.418882314215291,1.3538519294516234,-1.0940907417977986e-05,-0.002316997522582297,-0.00031502243758474424,0.000296638326391374,6,1,0.05003796523394847,-0.029977084093522344,0.0005092530189225937,-9.985168785691947e-05,9.709361767988014e-05,0.004998584990931836
0.17600000000000002,-2.4189727057886556,1.3540374403553264,-1.1343467395426912e-05,-0.004763160315501836,0.005424237383198084,0.0007546811961756108,7,1,0.050046073455494264,-0.03000066129535964,0.0007419671291302349,-0.00011597532272104334,9.004418571639346e-05,0.005029313529055863
0.201,-2.419120472231066,1.3541231413207833,2.67931523906846e-05,-0.009342731982995291,0.0010806661335083236,0.0005338457090431349,8,1,0.05006524559633301,-0.03001480766483019,0.0010197859810774645,-0.00010695344898425661,9.718903718318121e-05,0.004923085686496883
0.226,-2.4194398423878054,1.3540914736620018,1.5348818056700816e-05,-0.0069765385151932,0.00787370143207067,-0.0030122062627135912,9,1,0.05013090300414016,-0.03000149837880389,0.001298857758129285,-9.814566174232595e-05,8.597165210685474e-05,0.005001611888904744
0.251,-2.419469299156826,1.3545168263923868,-0.00012381716074482993,0.0004477960721871453,0.0029635739087741078,-0.0006583200402499043,10,1,0.05011421727057144,-0.03016173863963384,0.0015956715719575708,-8.8495482834806e-05,6.773517321818842e-05,0.0054508750335845214
0.276,-2.419417452584196,1.3542396523574405,-1.756718395592505e-05,0.004573985455884606,-0.003660064538255622,0.0015100376390186896,11,1,0.05005712981548987,-0.029970822665841532,0.0019030815676471366,-9.3509437246375e-05,5.60556999964985e-05,0.005089477651589045
0.30100000000000005,-2.4192405998840316,1.354333823165474,-4.8315278793699465e-05,0.003470947352148813,-0.0005653641142622235,-0.0005258766017490758,12,1,0.049917417437035226,-0.0300147638828735,0.002202345031826574,-8.60430017151456e-05,4.405976474038984e-05,0.005179412222008313
0.326,-2.4192439052165886,1.3542113841517274,-4.386101404345034e-05,-0.0019861601636872455,-0.002913450888595293,0.0006107370397234747,13,1,0.049902798818832764,-0.02987871005295923,0.0024739018238271095,-8.768102028335397e-05,2.8726561087128008e-05,0.005141231953835601
0.35100000000000003,-2.419339907892216,1.3541881506210443,-1.7778426807634328e-05,0.0006364130033720273,0.00044679610718745277,0.0008958080011467475,14,1,0.04997202365334052,-0.029841016554379807,0.0027028643450274477,-9.4108852879936e-05,7.845798581970598e-06,0.005054204768018533
0.376,-2.41921208456642,1.3542337239570867,9.293860137601138e-07,0.005364225476336416,0.00151321244049818,-0.00017290058916152876,15,1,0.049819967147935365,-0.029873473529463554,0.0028836777280873134,-9.700659280557869e-05,4.300902235431953e-06,0.005029569072287949
0.401,-2.419071696618399,1.3542638112430692,-2.6423456265748488e-05,0.0020191784665080075,-0.0011018751063041055,9.5477848542913e-05,16,1,0.04966027081999864,-0.029883672056643946,0.0030169206966681483,-8.566720837461667e-05,6.2736928132078355e-06,0.005121129688018934
0.42600000000000005,-2.4191111256430946,1.3541786302017715,5.703278440730358e-06,-0.002137280641854034,-0.0026930984469153434,0.0018402721322541287,17,1,0.04971966822737853,-0.02975658614329371,0.003103664901445277,-7.111472862856357e-05,1.0473795009036589e-05,0.005049207568734544
0.451,-2.419178560650492,1.3541291563207234,6.559015034692287e-05,-0.000803677795895297,-0.0015850857411692236,-0.00043202724321567143,18,1,0.0498026267501608,-0.029695297593032372,0.003153543506555577,-5.549938166415122e-05,1.0452496824365872e-05,0.004921978620265195
0.47600000000000003,-2.4191513095328894,1.354099375914713,-1.589808372026707e-05,0.006307584756459763,0.002697320625602018,-0.004205555128971029,19,1,0.04976115287438903,-0.029667380504848025,0.0031742761194223203,-4.1034385804458835e-05,3.311010386674237e-07,0.00509863167774085
0.501,-2.418863181412669,1.3542640223520035,-0.0001446876061015645,0.005063957182027679,0.0006638072328835066,-0.0022409198348860575,20,1,0.04937726214182342,-0.029910790060766898,0.003172152024184968,-2.1895293673276408e-05,-6.0384578658369615e-06,0.005364654770944395
0.526,-2.418898111673788,1.3541325662763573,-0.00012794407546461468,-0.0031118344293989937,0.0012648366385548105,-0.0008749233874372201,21,1,0.04946909862907366,-0.029708452510808676,0.0031528554616120363,-1.389468781417736e-05,-2.8232306386046984e-06,0.0053366119562745
0.551,-2.419018773134139,1.3543272641839312,-0.00018843377547362445,-0.0019347097053667977,0.0026024948844272067,-0.00013341840308989095,22,1,0.04966322210810389,-0.029993627989005563,0.0031205136607666607,1.6873946501006894e-06,3.057120505533365e-06,0.005448977184382523
0.5760000000000001,-2.4189948471590563,1.3542626910205786,-0.00013461499561891172,0.00546350141314988,0.0011177052357780315,-0.0014502645752045838,23,1,0.04963719679213012,-0.02986855809876126,0.0030790581075646117,1.6010240579791302e-05,6.355831331133961e-07,0.005311809541885148
0.6010000000000001,-2.4187455980634813,1.3543831494457201,-0.0002609470042338656,0.006682315449992879,-0.00175889227192805,-0.0010002706050293866,24,1,0.049315820371255134,-0.03002381180773951,0.003032769492122639,2.9675623884885183e-05,-5.478105440374333e-06,0.005507887780639769
0.626,-2.4186607313865567,1.3541747464069822,-0.0001846285258705361,0.001184330491987852,-0.0068406821149480474,0.001757782432560975,25,1,0.04926326068832688,-0.029704212709654898,0.0029829028664492174,3.351398018945143e-05,-1.2274047927954365e-05,0.005384869054831384
0.651,-2.418686381538882,1.3540411153399727,-0.00017305788260600836,-0.0038645628179789747,-0.007222819407983743,0.001675576740156613,26,1,0.04936697264392113,-0.029537485546451598,0.002933702228672987,3.2829928670384055e-05,-1.8073611561151785e-05,0.005348986329315648
0.676,-2.4188539595274556,1.353813605436583,-0.00010084968886256424,-0.004793488184038348,-0.005447740832504872,0.0026686821366528313,27,1,0.049642734391045155,-0.02927588713062586,0.002885508360909294,3.4322658170354705e-05,-2.6154661728708843e-05,0.0052302888342420275
0.7010000000000001,-2.418926055948084,1.3537687282983475,-3.9623775773406604e-05,-0.001600623871542693,0.004944970307767522,-0.00048454482084458973,28,1,0.04975121566767597,-0.029300947560322133,0.002839758066169478,3.285746322158246e-05,-3.196598071567865e-05,0.00514485081534531
0.7260000000000001,-2.4189339907210328,1.3540608539519714,-0.00012507692990489607,-0.0008584888488449861,0.009583944212625551,-0.0035352899252494344,29,1,0.04975979343360519,-0.029768258731469942,0.0027967433027750285,3.459483306352872e-05,-3.5005720225921235e-05,0.005262194450377687
0.751,-2.418968980390526,1.3542479255089788,-0.00021638827203588566,-0.0007150548706480474,-0.003436853405371925,0.00026907240608942156,30,1,0.04979912150077751,-0.03002659296268023,0.0027548325795615776,3.416217614795358e-05,-3.4321755683828906e-05,0.005390736091316373
0.776,-2.418969743464565,1.3538890112817028,-0.00011162330960046763,0.003272800063580658,-0.012418723617311212,0.003913096174441574,31,1,0.04979182679098938,-0.02953983585073849,0.0027151077337737345,2.4406426713333948e-05,-3.499764650468902e-05,0.00523469432479487
0.801,-2.418805340387347,1.3536269893281132,-2.0733463313609408e-05,-0.00042539976480959713,-0.004909792139939913,0.0021109523052231776,32,1,0.0495814442749869,-0.0292565685258747,0.0026768320898207304,1.489289107266468e-05,-3.487861140475521e-05,0.005101610907310926
0.8260000000000001,-2.4189910134528056,1.3536435216747058,-6.075694339383998e-06,-0.006780656429423709,0.002146445638557813,-0.0008869809966860479,33,1,0.04983318986097194,-0.0293752057902028,0.0026404025530868927,1.1222693518275035e-05,-3.327804150759797e-05,0.005095538994705303
0.8510000000000001,-2.4191443732088183,1.353734311610041,-6.508251314798272e-05,0.00023401199563011265,0.0019143546603839238,-0.0015567287670936758,34,1,0.05000877636856269,-0.02956644404580988,0.0026057305980371295,1.1295429314726533e-05,-3.385767069901703e-05,0.005168754356220972
0.876,-2.418979312853024,1.353739239407725,-8.391213269415274e-05,0.007014486479475233,0.0066645096612871855,-0.0017525486900371613,35,1,0.04977573443330736,-0.029621558252947742,0.0025711339525374068,9.629083238788785e-06,-3.77666867362701e-05,0.0052184096424153885
0.901,-2.4187936488848445,1.3540675370931055,-0.00015270994764974433,0.0029084840297333133,0.009448000743508258,-0.002317427851181717,36,1,0.049556129676159806,-0.030070736325719848,0.002536052991369956,1.5757632756692988e-05,-4.0454598967583034e-05,0.00528275336194059
0.926,-2.4188338886515375,1.3542116394449004,-0.00019978352525323114,-0.0013130059350263668,0.0025594350218716123,-0.0006433631646896027,37,1,0.04963468431142168,-0.030223596501742465,0.00249988117493278,1.753855183611134e-05,-4.329024569676279e-05,0.0053310161767202375
0.9510000000000001,-2.418859299181596,1.354195508844199,-0.0001848781058843645,-0.0029051544647895585,0.0015171733703622779,-0.0006055429328633005,38,1,0.04968076405070646,-0.030159307221402264,0.0024627075969927983,1.6787356145357827e-05,-4.7015919100586426e-05,0.005317391156278489
